Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","25,431","31","Q1","6.67","38.71"%,
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,846","10.8","Q1","3.05","51.38"%,
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,975","9.9","Q1","2.41","28.11"%,
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","11,870","9.5","Q1","2.38","5.41"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,860","9.1","Q1","2.21","61.97"%,
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,340","9.1","Q1","1.81","2.81"%,
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","SAGE PUBLICATIONS LTD","0268-3962","1466-4437","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,866","8.7","Q1","1.45","53.85"%,
"Data and Information Management","DATA INFORM MANAGE","ELSEVIER","N/A","2543-9251","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","588","8.3","Q1","2.09","100"%,
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,962","8.2","Q1","2.15","62.42"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,988","8.1","Q1","2.08","30.77"%,
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","17,694","8.1","Q1","2.06","14.71"%,
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","14,998","7.8","Q1","1.52","0"%,
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,987","7.5","Q1","1.68","0.57"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","OXFORD UNIV PRESS INC","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,466","7.4","Q1","2.75","100"%,
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","34,974","7.3","Q1","1.46","20.51"%,
