Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,506","7.2","Q1","1.71","10.66"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","18,887","7.1","Q1","1.48","38.63"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15,241","7","Q1","1.95","22.25"%,
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,687","6.8","Q1","2.21","60.32"%,
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,063","6.8","Q1","1.39","52.86"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,335","6.5","Q1","2.3","35.37"%,
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,766","6.3","Q1","1.66","5.69"%,
"Telematics and Informatics Reports","TELEMAT INFORM REP","ELSEVIER","N/A","2772-5030","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,090","5.9","Q1","1.65","99.15"%,
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","10,121","5.9","Q1","1.5","14.17"%,
"Quantitative Science Studies","QUANT SCI STUD","MIT PRESS","N/A","2641-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","2,560","5.6","Q1","1.33","100"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,506","5.5","Q1","4.65","74"%,
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,591","5.1","Q1","1.15","100"%,
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,710","5.1","Q1","0.63","53.01"%,
"Bottom Line","BOTTOM LINE","EMERALD GROUP PUBLISHING LTD","0888-045X","2054-1724","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","728","4.5","Q1","1.66","4.82"%,
"Information Technology for Development","INFORM TECHNOL DEV","Assoc information systems, Computer Information Systems Department","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,077","4.5","Q1","1.49","16.96"%,
"Journal of Global Information Management","J GLOB INF MANAG","IGI GLOBAL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,130","4.4","Q1","1.21","97.94"%,
"VINE Journal of Information and Knowledge Management Systems","VINE J INF KNOWL MAN","EMERALD GROUP PUBLISHING LTD","2059-5891","2059-5905","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,549","4.4","Q1","1","5.3"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,294","4.3","Q1","1.01","35.43"%,
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,606","4.2","Q1","0.84","70.63"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,774","3.9","Q1","0.89","25.45"%,
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,149","3.8","Q1","0.96","5.61"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","23,463","3.8","Q1","0.86","35.46"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,990","3.7","Q1","1.24","37.5"%,
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,000","3.6","Q1","0.82","13.04"%,
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,245","3.6","Q1","0.82","5.03"%,
"Digital Policy Regulation and Governance","DIGIT POLICY REGUL G","EMERALD GROUP PUBLISHING LTD","2398-5038","2398-5046","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","912","3.5","Q1","1.02","4.41"%,
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,812","3.5","Q1","0.86","3.2"%,
"Information and Learning Sciences","INFORM LEARN SCI","EMERALD GROUP PUBLISHING LTD","2398-5348","2398-5356","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","830","3.4","Q1","0.93","12.75"%,
"Publications","PUBLICATIONS-BASEL","MDPI","N/A","2304-6775","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,686","3.4","Q1","0.82","100"%,
"AIS Transactions on Human-Computer Interaction","AIS T HUM-COMPUT INT","ASSOC INFORMATION SYSTEMS","1944-3900","1944-3900","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","534","3.4","Q1","0.67","98.15"%,
"Journal of the Canadian Health Libraries Association","J CAN HEALTH LIBRARI","CANADIAN HEALTH LIBRARIES ASSOC","1708-6892","1708-6892","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","293","3.4","Q1","0.31","100"%,
"Human Technology","HUM TECHNOL","CENTER SOCIOLOGICAL RESEARCH","N/A","1795-6889","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","483","3.2","Q2","1.09","98.85"%,
"Journal of Web Librarianship","J WEB LIBRARIANSH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1932-2909","1932-2917","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","218","3.2","Q2","0.92","3.13"%,
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","20,150","3.1","Q2","0.98","56.33"%,
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,461","3.1","Q2","0.68","0"%,
"Frontiers in Research Metrics and Analytics","FRONT RES METR ANAL","FRONTIERS MEDIA SA","N/A","2504-0537","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,075","3.1","Q2","0.54","100"%,
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,275","3","Q2","0.72","1.39"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,383","2.9","Q2","0.98","14.83"%,
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,073","2.9","Q2","0.77","28.19"%,
"Pacific Asia Journal of the Association for Information Systems","PAC ASIA J ASSOC INF","ASSOC INFORMATION SYSTEMS","1943-7536","1943-7544","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","471","2.9","Q2","0.77","0"%,
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,215","2.9","Q2","0.74","10.94"%,
"Transforming Government- People Process and Policy","TRANSFORM GOV-PEOPLE","EMERALD GROUP PUBLISHING LTD","1750-6166","1750-6174","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,060","2.8","Q2","0.83","15.58"%,
"Journal of Data and Information Science","J DATA INFO SCI","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","2096-157X","2543-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","769","2.7","Q2","0.8","100"%,
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,013","2.7","Q2","0.78","53.21"%,
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","472","2.7","Q2","0.43","98.51"%,
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,743","2.6","Q2","0.66","28.92"%,
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,346","2.6","Q2","0.51","14.34"%,
"International Journal of Technology and Human Interaction","INT J TECHNOL HUM IN","IGI GLOBAL","1548-3908","1548-3916","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","284","2.6","Q2","0.26","100"%,
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","45","2.5","Q2","0.01","0"%,
"Information Discovery and Delivery","INF DISCOV DELIV","EMERALD GROUP PUBLISHING LTD","2398-6247","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","568","2.4","Q2","0.71","3.38"%,
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","523","2.4","Q2","0.68","2.56"%,
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,904","2.4","Q2","0.63","19.22"%,
"World Patent Information","WORLD PAT INF","ELSEVIER","0172-2190","1874-690X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,031","2.4","Q2","0.55","31.25"%,
"Digital Library Perspectives","DIGIT LIBR PERSPECT","EMERALD GROUP PUBLISHING LTD","2059-5816","2054-1694","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","432","2.3","Q2","0.57","6.48"%,
"International Journal of Electronic Government Research","INT J ELECTRON GOV R","IGI GLOBAL","1548-3886","1548-3894","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","290","2.2","Q2","0.56","100"%,
"Global Knowledge Memory and Communication","GLOB KNOWL MEM COMMU","EMERALD GROUP PUBLISHING LTD","2514-9342","2514-9350","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,692","2.1","Q2","0.7","1.87"%,
"Information Polity","INFORM POLITY","SAGE PUBLICATIONS INC","1570-1255","1875-8754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","870","2","Q2","0.51","25.3"%,
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,169","1.9","Q2","0.61","32"%,
"Journal of Business & Finance Librarianship","J BUS FINANC LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0896-3568","1547-0644","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","240","1.9","Q2","0.48","1.89"%,
"Insights-The UKSG Journal","INSIGHTS","UBIQUITY PRESS LTD","2048-7754","2048-7754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","347","1.9","Q2","0.27","94.83"%,
"Journal of the Australian Library and Information Association","J AUST LIB INF ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2475-0158","2475-0166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","425","1.8","Q2","0.73","2.02"%,
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,796","1.8","Q2","0.54","15.53"%,
"IFLA JOURNAL-INTERNATIONAL FEDERATION OF LIBRARY ASSOCIATIONS","IFLA J-INT FED LIBR","SAGE PUBLICATIONS INC","0340-0352","1745-2651","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","735","1.8","Q2","0.47","23.12"%,
"Public Library Quarterly","PUBLIC LIBR Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0161-6846","1541-1540","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","620","1.8","Q2","0.46","6.45"%,
"LIBRI-International Journal of Libraries and Information Studies","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","493","1.8","Q2","0.4","70.24"%,
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,631","1.7","Q2","0.85","98.33"%,
"International Journal on Digital Libraries","INT J DIGIT LIBRARIE","SPRINGER","1432-5012","1432-1300","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","486","1.7","Q2","0.55","63.1"%,
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","1532-0936","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,043","1.7","Q2","0.42","0"%,
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,284","1.6","Q2","0.4","16.78"%,
"Data Technologies and Applications","DATA TECHNOL APPL","EMERALD GROUP PUBLISHING LTD","2514-9288","2514-9318","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","514","1.6","Q2","0.39","0.97"%,
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","Univ Boras, Swedish School Library and Information Science","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,217","1.6","Q2","0.29","99.28"%,
"EUROPEAN SCIENCE EDITING","EUR SCI EDIT","European Assoc Science Editors - EASE","0258-3127","2518-3354","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","204","1.6","Q2","0.28","100"%,
"New Review of Academic Librarianship","NEW REV ACAD LIBR","TAYLOR & FRANCIS LTD","1361-4533","1740-7834","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","403","1.5","Q3","0.51","15.71"%,
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","400","1.5","Q3","0.22","93.48"%,
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,237","1.4","Q3","0.4","35.87"%,
"Records Management Journal","REC MANAG J","EMERALD GROUP PUBLISHING LTD","0956-5698","1758-7689","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","316","1.4","Q3","0.36","23.53"%,
"PUBLISHING RESEARCH QUARTERLY","PUBLISH RES Q","SPRINGER","1053-8801","1936-4792","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","446","1.3","Q3","0.5","35.71"%,
"Library Management","LIBR MANAGE","EMERALD GROUP PUBLISHING LTD","0143-5124","1758-7921","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","766","1.3","Q3","0.46","5.83"%,
"Collection and Curation","COLLECT CURATION","EMERALD GROUP PUBLISHING LTD","2514-9326","2514-9326","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","142","1.3","Q3","0.33","23.81"%,
"Journal of Scientometric Research","J SCIENTOMETR RES","PHCOG NET","2321-6654","2320-0057","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","535","1.3","Q3","0.33","96.28"%,
"REFERENCE SERVICES REVIEW","REF SERV REV","EMERALD GROUP PUBLISHING LTD","0090-7324","2054-1716","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","528","1.3","Q3","0.32","4.76"%,
"Performance Measurement and Metrics","PERFORM MEAS METR","EMERALD GROUP PUBLISHING LTD","1467-8047","1758-6925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","381","1.3","Q3","0.28","0"%,
"Evidence Based Library and Information Practice","EVID BASED LIB INF P","UNIV ALBERTA","1715-720X","1715-720X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","380","1.3","Q3","0.24","97.73"%,
"ARCHIVAL SCIENCE","ARCH SCI-NETHERLANDS","SPRINGER","1389-0166","1573-7500","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","976","1.2","Q3","0.46","50.89"%,
"Journal of Library Administration","J LIBR ADM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0193-0826","1540-3564","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","739","1.2","Q3","0.33","4.55"%,
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","699","1.2","Q3","0.25","11.11"%,
"South African Journal of Information Management","S AFR J INFORM MANAG","AOSIS","2078-1865","1560-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","435","1.1","Q3","0.31","100"%,
"Communications in Information Literacy","COMMUN INF LIT","COMMUNICATIONS INFORMATION LITERACY","1933-5954","1933-5954","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","319","1.1","Q3","0.26","72.73"%,
"South African Journal of Libraries and Information Science","S AFR J LIBR INF","FORUM PRESS","0256-8861","2304-8263","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","200","1.1","Q3","0.25","47.46"%,
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","229","1","Q3","0.76","6.74"%,
"Journal of Information & Knowledge Management","J INF KNOWL MANAG","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6492","1793-6926","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","689","1","Q3","0.28","0.96"%,
"Technical Services Quarterly","TECH SERV Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0731-7131","1555-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","206","1","Q3","0.26","19.18"%,
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","549","1","Q3","0.03","0"%,
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","829","0.9","Q3","0.38","0"%,
"Cataloging & Classification Quarterly","CAT CLASSIF Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0163-9374","1544-4554","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","485","0.9","Q3","0.26","17.02"%,
"DESIDOC Journal of Library & Information Technology","DESIDOC J LIB INF TE","DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE","0974-0643","0976-4658","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","433","0.9","Q3","0.26","50"%,
"International Journal of E-Adoption","INT J E-ADOPT","IGI GLOBAL","1937-9633","1937-9641","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","58","0.9","Q3","0.22","100"%,
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","344","0.9","Q3","0.2","34.78"%,
"College & Undergraduate Libraries","COLL UNDERGRAD LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1069-1316","1545-2530","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","215","0.9","Q3","0.18","0"%,
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","120","0.8","Q3","1.04","0"%,
"EDUCATION FOR INFORMATION","EDUC INFORM","SAGE PUBLICATIONS INC","0167-8329","1875-8649","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,783","0.8","Q3","0.31","7.69"%,
"BiD-Textos Universitaris de Biblioteconomia i Documentacio","BID-TEXTOS UNIV BIBL","UNIV BARCELONA, SERVEI PUBLICACIONS","1575-5886","1575-5886","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","73","0.8","Q3","0.08","100"%,
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","156","0.7","Q3","0.2","64.15"%,
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","WESTERN LIBRARIES","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","165","0.7","Q3","0.19","89.06"%,
"Journal of Map & Geography Libraries","J MAP GEOGR LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1542-0353","1542-0361","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","114","0.7","Q3","0.19","6.67"%,
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","118","0.7","Q3","0.15","0"%,
"Hipertext Net","HIPERTEXT NET","Univ Pompeu Fabra, Dept Comunicacio","N/A","1695-5498","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","126","0.7","Q3","0.15","97.78"%,
