"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2005 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2005 JIF,JIF Quartile,2005 JCI,% of Citable OA
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","69","0.288","Q4","N/A","N/A",
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LIMITED","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","89","0.26","Q4","N/A","N/A",
"ONLINE","ONLINE","ONLINE INC","0146-5422","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","100","0.246","Q4","N/A","N/A",
"LIBRARY JOURNAL","LIBR J","BOWKER MAGAZINE GROUP CAHNERS MAGAZINE DIVISION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","285","0.227","Q4","N/A","N/A",
"LIBRI","LIBRI","K G SAUR VERLAG KG","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","76","0.192","Q4","N/A","N/A",
"ECONTENT","ECONTENT","ONLINE INC","1525-2531","1525-2531","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","39","0.125","Q4","N/A","N/A",
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERNAMM GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","14","0.119","Q4","N/A","N/A",
"JOURNAL OF GOVERNMENT INFORMATION","J GOV INFORM","PERGAMON-ELSEVIER SCIENCE LTD","1352-0237","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","27","0.1","Q4","N/A","N/A",
"PROCEEDINGS OF THE ASIST ANNUAL MEETING","P ASIST ANNU MEET","INFORMATION TODAY INC","0044-7870","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","42","0.027","Q4","N/A","N/A",
"JOURNAL OF INFORMATION ETHICS","J INFORM ETHICS","MCFARLAND & CO INC","1061-9321","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","16","0","Q4","N/A","N/A",
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15","0","Q4","N/A","N/A",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
