"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2005 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2005 JIF,JIF Quartile,2005 JCI,% of Citable OA
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,395","4.978","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","ELSEVIER SCIENCE INC","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,040","4.339","Q1","N/A","N/A",
"ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY","ANNU REV INFORM SCI","INFORMATION TODAY INC","0066-4200","1550-8382","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","298","2.652","Q1","N/A","N/A",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INST OPERATIONS RESEARCH MANAGEMENT SCIENCES","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","949","2.054","Q1","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,406","1.738","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","J AM SOC INF SCI TEC","JOHN WILEY & SONS INC","1532-2882","1532-2890","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,552","1.583","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","960","1.562","Q1","N/A","N/A",
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL","PALGRAVE MACMILLAN LTD","0268-3962","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","347","1.543","Q1","N/A","N/A",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER SCIENCE BV","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,230","1.524","Q1","N/A","N/A",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","M E SHARPE INC","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,167","1.406","Q1","N/A","N/A",
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","369","1.245","Q1","N/A","N/A",
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","200","1.225","Q1","N/A","N/A",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","PERGAMON-ELSEVIER SCIENCE LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,137","1.192","Q1","N/A","N/A",
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","294","1.018","Q2","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LIMITED","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","754","0.983","Q2","N/A","N/A",
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","287","0.957","Q2","N/A","N/A",
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","306","0.802","Q2","N/A","N/A",
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","241","0.757","Q2","N/A","N/A",
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","413","0.747","Q2","N/A","N/A",
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","124","0.701","Q2","N/A","N/A",
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","253","0.688","Q2","N/A","N/A",
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","89","0.613","Q2","N/A","N/A",
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","BLACKWELL PUBLISHING","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","163","0.559","Q2","N/A","N/A",
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","285","0.559","Q2","N/A","N/A",
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","231","0.558","Q2","N/A","N/A",
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","ERGON-VERLAG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","63","0.533","Q2","N/A","N/A",
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","80","0.512","Q2","N/A","N/A",
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER SCIENCE INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","97","0.48","Q3","N/A","N/A",
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","270","0.479","Q3","N/A","N/A",
"RESEARCH EVALUATION","RES EVALUAT","BEECH TREE PUBLISHING","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","93","0.474","Q3","N/A","N/A",
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LIMITED","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","100","0.469","Q3","N/A","N/A",
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","240","0.458","Q3","N/A","N/A",
"INTERLENDING & DOCUMENT SUPPLY","INTERLEND DOC SUPPLY","EMERALD GROUP PUBLISHING LIMITED","0264-1615","1758-5848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","69","0.431","Q3","N/A","N/A",
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","CANADIAN ASSOC INFORMATION SCIENCE","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","52","0.4","Q3","N/A","N/A",
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LIMITED","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","170","0.375","Q3","N/A","N/A",
"LIBRARY TRENDS","LIBR TRENDS","GSLIS PUBLICATIONS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","261","0.365","Q3","N/A","N/A",
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","K G SAUR VERLAG KG","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","132","0.364","Q3","N/A","N/A",
"SCIENTIST","SCIENTIST","SCIENTIST INC","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","412","0.356","Q3","N/A","N/A",
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","68","0.355","Q3","N/A","N/A",
"ASLIB PROCEEDINGS","ASLIB PROC","EMERALD GROUP PUBLISHING LIMITED","0001-253X","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","124","0.333","Q3","N/A","N/A",
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSN LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","118","0.308","Q3","N/A","N/A",
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","23","0.303","Q4","N/A","N/A",
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","84","0.298","Q4","N/A","N/A",
"LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES","LIBR COLLECT ACQUIS","PERGAMON-ELSEVIER SCIENCE LTD","1464-9055","1873-1821","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","40","0.296","Q4","N/A","N/A",
