Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","978","3.6","Q1","1.33","97.31"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","20,397","3.5","Q1","0.87","31.21"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,057","3.4","Q1","3","61.31"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,662","3.4","Q1","0.89","15.47"%,
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,866","3.2","Q1","0.8","12.36"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,011","3.1","Q1","1.24","14.44"%,
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,793","3.1","Q1","0.87","3.35"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,340","3","Q1","1.12","20.94"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,731","3","Q1","1.07","41.67"%,
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","547","3","Q1","0.69","2.78"%,
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,666","2.9","Q1","0.77","43.57"%,
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,616","2.9","Q1","0.67","98.2"%,
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,521","2.8","Q1","0.71","35.39"%,
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","1532-0936","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","892","2.8","Q1","0.66","0"%,
"VINE Journal of Information and Knowledge Management Systems","VINE J INF KNOWL MAN","EMERALD GROUP PUBLISHING LTD","2059-5891","1474-1032","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,055","2.7","Q2","0.76","3.23"%,
"Profesional de la Informacion","PROF INFORM","EDICIONES PROFESIONALES INFORMACION SL-EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,801","2.6","Q2","1.17","56.99"%,
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15,701","2.6","Q2","1.03","37.71"%,
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,309","2.5","Q2","0.74","10.12"%,
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,104","2.4","Q2","0.73","3.27"%,
"Transforming Government- People Process and Policy","TRANSFORM GOV-PEOPLE","EMERALD GROUP PUBLISHING LTD","1750-6166","1750-6174","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","783","2.4","Q2","0.73","13.01"%,
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,328","2.4","Q2","0.7","16.52"%,
"Pacific Asia Journal of the Association for Information Systems","PAC ASIA J ASSOC INF","ASSOC INFORMATION SYSTEMS","1943-7536","1943-7544","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","283","2.4","Q2","0.64","0"%,
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","798","2.3","Q2","0.64","12.63"%,
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,940","2.2","Q2","0.83","20.51"%,
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,256","2.2","Q2","0.67","32.58"%,
"World Patent Information","WORLD PAT INF","ELSEVIER","0172-2190","1874-690X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","796","2.2","Q2","0.61","18.1"%,
"Information Discovery and Delivery","INF DISCOV DELIV","EMERALD GROUP PUBLISHING LTD","2398-6247","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","383","2.1","Q2","0.65","4.13"%,
"Global Knowledge Memory and Communication","GLOB KNOWL MEM COMMU","EMERALD GROUP PUBLISHING LTD","2514-9342","2514-9350","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","670","2.1","Q2","0.62","3.74"%,
"Digital Policy Regulation and Governance","DIGIT POLICY REGUL G","EMERALD GROUP PUBLISHING LTD","2398-5038","2398-5046","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","451","2.1","Q2","0.61","6.48"%,
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,298","2","Q2","0.49","9.8"%,
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,425","1.9","Q2","0.68","0"%,
"New Review of Academic Librarianship","NEW REV ACAD LIBR","TAYLOR & FRANCIS LTD","1361-4533","1740-7834","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","313","1.9","Q2","0.63","22.58"%,
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,896","1.9","Q2","0.59","39.47"%,
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,971","1.8","Q2","0.55","10.93"%,
"Performance Measurement and Metrics","PERFORM MEAS METR","EMERALD GROUP PUBLISHING LTD","1467-8047","1758-6925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","364","1.8","Q2","0.15","0"%,
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,808","1.7","Q2","0.49","17.96"%,
"Data Technologies and Applications","DATA TECHNOL APPL","EMERALD GROUP PUBLISHING LTD","2514-9288","2514-9318","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","350","1.7","Q2","0.41","3.42"%,
"Information and Learning Sciences","INFORM LEARN SCI","EMERALD GROUP PUBLISHING LTD","2398-5348","2398-5356","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","599","1.6","Q2","0.79","8.55"%,
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","660","1.6","Q2","0.48","0"%,
"International Journal on Digital Libraries","INT J DIGIT LIBRARIE","SPRINGER","1432-5012","1432-1300","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","452","1.6","Q2","0.47","45.35"%,
"Collnet Journal of Scientometrics and Information Management","COLLNET J SCIENTOMET","TARU PUBLICATIONS","0973-7766","2168-930X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","225","1.6","Q2","0.35","0"%,
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,629","1.6","Q2","0.02","0"%,
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,207","1.5","Q2","0.49","2.27"%,
"Journal of Data and Information Science","J DATA INFO SCI","SCIENDO","2096-157X","2543-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","572","1.5","Q2","0.43","100"%,
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","365","1.5","Q2","0.39","98.57"%,
"Public Library Quarterly","PUBLIC LIBR Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0161-6846","1541-1540","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","366","1.4","Q2","0.51","10"%,
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,200","1.4","Q2","0.46","20.99"%,
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,118","1.4","Q2","0.44","0.71"%,
"ARCHIVAL SCIENCE","ARCH SCI-NETHERLANDS","SPRINGER","1389-0166","1573-7500","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","688","1.4","Q2","0.37","42.42"%,
"Information Polity","INFORM POLITY","IOS PRESS","1570-1255","1875-8754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","794","1.3","Q2","0.49","31.82"%,
"REFERENCE SERVICES REVIEW","REF SERV REV","EMERALD GROUP PUBLISHING LTD","0090-7324","2054-1716","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","484","1.3","Q2","0.36","2.67"%,
"Library Management","LIBR MANAGE","EMERALD GROUP PUBLISHING LTD","0143-5124","1758-7921","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","624","1.3","Q2","0.35","6.96"%,
"Archives and Manuscripts","ARCH MANUSCR","Australian Society Archivists Inc","0157-6895","2164-6058","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","168","1.3","Q2","0.23","79.31"%,
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","234","1.2","Q3","1.91","3.7"%,
"International Journal of Electronic Government Research","INT J ELECTRON GOV R","IGI GLOBAL","1548-3886","1548-3894","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","315","1.2","Q3","0.48","23.61"%,
"PUBLISHING RESEARCH QUARTERLY","PUBLISH RES Q","SPRINGER","1053-8801","1936-4792","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","360","1.2","Q3","0.43","24.17"%,
"South African Journal of Information Management","S AFR J INFORM MANAG","AOSIS","2078-1865","1560-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","333","1.2","Q3","0.29","97.67"%,
"Digital Library Perspectives","DIGIT LIBR PERSPECT","EMERALD GROUP PUBLISHING LTD","2059-5816","2054-1694","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","251","1.1","Q3","0.42","8"%,
"JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES","J INFORM OPTIM SCI","TARU PUBLICATIONS","0252-2667","2169-0103","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","972","1.1","Q3","0.41","0"%,
"Information Resources Management Journal","INF RESOUR MANAG J","IGI GLOBAL","1040-1628","1533-7979","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","365","1.1","Q3","0.36","9.09"%,
"Insights-The UKSG Journal","INSIGHTS","UBIQUITY PRESS LTD","2048-7754","2048-7754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","267","1.1","Q3","0.22","84.85"%,
"Journal of the Australian Library and Information Association","J AUST LIB INF ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2475-0158","2475-0166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","243","1","Q3","0.49","9.46"%,
"Journal of Library Administration","J LIBR ADM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0193-0826","1540-3564","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","649","1","Q3","0.36","5.73"%,
"IFLA JOURNAL-INTERNATIONAL FEDERATION OF LIBRARY ASSOCIATIONS","IFLA J-INT FED LIBR","SAGE PUBLICATIONS INC","0340-0352","1745-2651","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","438","1","Q3","0.3","18.84"%,
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","347","1","Q3","0.25","97.7"%,
"Journal of Web Librarianship","J WEB LIBRARIANSH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1932-2909","1932-2917","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","111","0.9","Q3","0.39","4.17"%,
"Journal of Information & Knowledge Management","J INF KNOWL MANAG","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6492","1793-6926","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","574","0.9","Q3","0.32","1.57"%,
"Communications in Information Literacy","COMMUN INF LIT","COMMUNICATIONS INFORMATION LITERACY","1933-5954","1933-5954","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","283","0.9","Q3","0.26","25.53"%,
"Journal of the Canadian Health Libraries Association","J CAN HEALTH LIBRARI","CANADIAN HEALTH LIBRARIES ASSOC","1708-6892","1708-6892","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","168","0.9","Q3","0.16","100"%,
"Records Management Journal","REC MANAG J","EMERALD GROUP PUBLISHING LTD","0956-5698","1758-7689","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","272","0.8","Q3","0.31","8.51"%,
"Journal of Business & Finance Librarianship","J BUS FINANC LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0896-3568","1547-0644","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","182","0.8","Q3","0.25","4"%,
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","658","0.8","Q3","0.25","0"%,
"International Journal of E-Adoption","INT J E-ADOPT","IGI GLOBAL","1937-9633","1937-9641","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","88","0.8","Q3","0.23","25"%,
"LIBRI-International Journal of Libraries and Information Studies","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","435","0.8","Q3","0.23","11.24"%,
"Cataloging & Classification Quarterly","CAT CLASSIF Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0163-9374","1544-4554","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","364","0.8","Q3","0.19","11.61"%,
"International Journal of Public Administration in the Digital Age","INT J PUBLIC ADM DIG","IGI GLOBAL","2334-4520","2334-4539","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","92","0.8","Q3","0.14","84.62"%,
"EDUCATION FOR INFORMATION","EDUC INFORM","IOS PRESS","0167-8329","1875-8649","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,264","0.7","Q3","0.28","6.25"%,
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","79","0.7","Q3","0.21","100"%,
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","382","0.7","Q3","0.21","6.98"%,
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","968","0.7","Q3","0.17","99.41"%,
"BiD-Textos Universitaris de Biblioteconomia i Documentacio","BID-TEXTOS UNIV BIBL","UNIV BARCELONA, SERVEI PUBLICACIONS","1575-5886","1575-5886","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","81","0.7","Q3","0.03","85.71"%,
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","95","0.6","Q3","1.15","0"%,
"DESIDOC Journal of Library & Information Technology","DESIDOC J LIB INF TE","DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE","0974-0643","0976-4658","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","359","0.6","Q3","0.22","42.68"%,
"Journal of Scientometric Research","J SCIENTOMETR RES","PHCOG NET","2321-6654","2320-0057","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","241","0.6","Q3","0.21","95.93"%,
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","256","0.6","Q3","0.2","4"%,
"College & Undergraduate Libraries","COLL UNDERGRAD LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1069-1316","1545-2530","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","211","0.6","Q3","0.18","1.79"%,
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","435","0.6","Q3","0.18","0"%,
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","121","0.6","Q3","0.18","0"%,
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","WESTERN LIBRARIES","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","112","0.6","Q3","0.17","50"%,
"Collection and Curation","COLLECT CURATION","EMERALD GROUP PUBLISHING LTD","2514-9326","2514-9326","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","51","0.6","Q3","0.17","15.91"%,
"Anales de Documentacion","AN DOC","UNIV MURCIA","1575-2437","1697-7904","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","68","0.6","Q3","0.11","84.62"%,
"Encontros Bibli-Revista Eletronica de Biblioteconomia e Ciencia da Informacao","ENCONTROS BIBLI","UNIV FEDERAL SANTA CATARINA","N/A","1518-2924","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","166","0.6","Q3","0.05","93.28"%,
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","286","0.5","Q3","0.24","0"%,
"Technical Services Quarterly","TECH SERV Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0731-7131","1555-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","118","0.5","Q3","0.19","1.85"%,
"International Journal of Technology and Human Interaction","INT J TECHNOL HUM IN","IGI GLOBAL","1548-3908","1548-3916","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","206","0.5","Q3","0.17","68.89"%,
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","176","0.5","Q3","0.11","81.08"%,
