Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"Annals of Library and Information Studies","ANN LIBR INF STUD","NATL INST SCIENCE COMMUNICATION-NISCAIR","0972-5423","0975-2404","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","137","0.4","Q4","0.16","96.15"%,
"Scientific and Technical Information Processing","SCI TECH INF PROCESS","PLEIADES PUBLISHING INC","0147-6882","1934-8118","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","211","0.4","Q4","0.15","1.01"%,
"Collection Management","COLLECT MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0146-2679","1545-2549","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","136","0.4","Q4","0.14","1.85"%,
"Evidence Based Library and Information Practice","EVID BASED LIB INF P","UNIV ALBERTA","1715-720X","1715-720X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","308","0.4","Q4","0.14","100"%,
"JLIS.it","JLIS.IT","UNIV STUDI FIRENZE, DIPT STUDI MEDIOEVO & RINASCIMENTO","2038-5366","2038-1026","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","124","0.4","Q4","0.14","57.28"%,
"South African Journal of Libraries and Information Science","S AFR J LIBR INF","FORUM PRESS","0256-8861","2304-8263","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","126","0.4","Q4","0.09","43.18"%,
"Revista General de Informacion y Documentacion","REV GEN INF DOC","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1132-1873","1988-2858","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","180","0.4","Q4","0.06","90.36"%,
"AtoZ-Novas Praticas em Informacao e Conhecimento","ATOZ","UNIV FEDERAL PARANA, DEPT CIENCIA & GESTAO INFORMACAO","2237-826X","2237-826X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","50","0.4","Q4","0.05","25"%,
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","164","0.3","Q4","0.16","0"%,
"Journal of Map & Geography Libraries","J MAP GEOGR LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1542-0353","1542-0361","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","75","0.3","Q4","0.12","10.34"%,
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","782","0.3","Q4","0.11","0"%,
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","109","0.3","Q4","0.1","0"%,
"Ibersid-Revista de Sistemas de Informacion y Documentacion","IBERSID","IBERSID NETWORK","1888-0967","2174-081X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","44","0.3","Q4","0.09","0"%,
"RDBCI-Revista Digital de Biblioteconomia e Ciencia da Informacao","RDBCI-REV DIG BIB CI","UNIV ESTADUAL CAMPINAS - SISTEMA BIBLIOTECAS","N/A","1678-765X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","74","0.3","Q4","0.05","71.03"%,
"Cuadernos de Documentacion Multimedia","CUAD DOC MULTIMED","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1575-9733","1575-9733","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","24","0.3","Q4","0.04","100"%,
"Bibliotecas-Anales de Investigacion","BIBL-AN INVESTIG","BIBLIOTECA NACL CUBA JOSE MARTI","0006-176X","1683-8947","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","65","0.3","Q4","0.03","0"%,
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","198","0.2","Q4","0.1","90"%,
"AIB Studi","AIB STUD","ASSOC ITALIANA BIBLIOTECHE-AIB","2280-9112","2239-6144","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","46","0.2","Q4","0.08","0"%,
"Metodos de informacion","METODOS INF","COLLEGI OFICIAL BIBLIOTECARIS & DOCUMENTALISTES COMUNITAT VALENCI","1134-2838","2173-1241","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","13","0.2","Q4","0.08","68"%,
"Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries","NAUCHNYE TEK BIBL","RUSSIAN NATL PUBLIC LIBRARY SCIENCE & TECHNOLOGY","0130-9765","0130-9765","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","114","0.2","Q4","0.08","97.86"%,
"Journal of Library and Information Studies","J LIBR INFORM STUD","NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE","1606-7509","2309-9119","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","24","0.2","Q4","0.07","0"%,
"E-Ciencias de la Informacion","E-CIENC INF","UNIV COSTA RICA","1659-4142","1659-4142","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","35","0.2","Q4","0.05","98.18"%,
"Perspectivas em Ciencia da Informacao","PERSPECT CIENC INF","UNIV FEDERAL MINAS GERAIS, ESCOLA BIBLIOTECONOMIA","1413-9936","1981-5344","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","246","0.2","Q4","0.05","93.62"%,
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","29","0.2","Q4","0.05","0"%,
"Bibliothek Forschung und Praxis","BIBL FORSCH PRAX","WALTER DE GRUYTER GMBH","0341-4183","1865-7648","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","78","0.2","Q4","0.04","100"%,
"Revista Ibero-Americana de Ciencia da Informacao","REV IBERI-AM CIENC I","UNIV BRASILIA, DEPT CIENCIA INFORMACAO","1983-5213","1983-5213","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","50","0.2","Q4","0.03","70.92"%,
"Em Questao","EM QUESTAO","UNIV FEDERAL RIO GRANDE SUL, FAC BIBLIOTECONOMIA & COMUNICACAO","1807-8893","1808-5245","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","244","0.2","Q4","0.02","94.66"%,
"Qualitative & Quantitative Methods in Libraries","QUAL QUANT METHODS L","INT SOC ART SCIENCE & TECHNOLOGY-ISAST","2241-1925","2241-1925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","120","0.1","Q4","0.08","0"%,
"Library & Information History","LIBR INF HIST","EDINBURGH UNIV PRESS","1758-3489","1758-3497","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","43","0.1","Q4","0.05","7.41"%,
"Bibliotecas-Revista de la Escuela de Bibliotecologia Documentacion e Informacion","BIBLIOTECAS","UNIV NACL, ESCUELA BIBLIOTECOLOGIA DOCUMENTACION & INFORMACION","1409-3049","1659-3286","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","6","0.1","Q4","0.04","75"%,
"Libres-Library and Information Science Research Electronic Journal","LIBRES","NANYANG TECHNOLOGICAL UNIV LIBRARY","1058-6768","1058-6768","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","41","0.1","Q4","0.04","90"%,
"Biblios-Revista de Bibliotecologia y Ciencias de la Informacion","BIBLIOS","UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","1562-4730","1562-4730","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","68","0.1","Q4","0.03","94.44"%,
"Documentation et Bibliotheques","DOC BIBL","ASSOC AVANCEMENT SCIENCES TECHNIQUES DOCUMENTATION","0315-2340","0315-2340","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","18","0.1","Q4","0.03","0"%,
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","27","0.1","Q4","0","0"%,
"Turkish Librarianship","TURK LIBRARIANSH","TURKISH LIBRARIANS ASSOC","1300-0039","2147-9682","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","72","<0.1","Q4","0.03","91.3"%,
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL CAMPINA GRANDE","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","115","<0.1","Q4","0.02","0"%,
"Scire-Representacion y Organizacion del Conocimiento","SCIRE","UNIV ZARAGOZA","1135-3716","2340-7042","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","20","<0.1","Q4","0.02","0"%,
"Bosniaca-Journal of the National and University Library of Bosnia and Herzegovina","BOSNIACA","NATL & UNIV LIBRARY BOSNIA & HERZEGOVINA","1512-5033","2303-8888","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1","<0.1","Q4","0.01","97.06"%,
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LTD","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,700","N/A","N/A","1.54","2.54"%,
