"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2016 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2016 JIF,JIF Quartile,2016 JCI,% of Citable OA
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER SCIENCE BV","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,783","3.317","Q1","N/A","N/A",
"Journal of Informetrics","J INFORMETR","ELSEVIER SCIENCE BV","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,067","2.92","Q1","N/A","N/A",
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","PALGRAVE MACMILLAN LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,395","2.819","Q1","N/A","N/A",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,257","2.763","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,276","2.502","Q1","N/A","N/A",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,067","2.391","Q1","N/A","N/A",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,456","2.356","Q1","N/A","N/A",
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY-BLACKWELL","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","978","2.322","Q1","N/A","N/A",
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","919","2.312","Q1","N/A","N/A",
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,263","2.293","Q1","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,831","2.147","Q1","N/A","N/A",
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,702","2.109","Q2","N/A","N/A",
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","515","2.083","Q2","N/A","N/A",
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,774","2.053","Q2","N/A","N/A",
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,733","2.036","Q2","N/A","N/A",
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","483","1.741","Q2","N/A","N/A",
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","319","1.691","Q2","N/A","N/A",
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","829","1.638","Q2","N/A","N/A",
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,233","1.614","Q2","N/A","N/A",
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,042","1.558","Q2","N/A","N/A",
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,042","1.534","Q2","N/A","N/A",
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,509","1.526","Q2","N/A","N/A",
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","977","1.515","Q2","N/A","N/A",
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","118","1.514","Q2","N/A","N/A",
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","569","1.5","Q2","N/A","N/A",
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,585","1.372","Q2","N/A","N/A",
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","642","1.339","Q2","N/A","N/A",
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","382","1.333","Q2","N/A","N/A",
"LEARNED PUBLISHING","LEARN PUBL","WILEY-BLACKWELL","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","322","1.333","Q2","N/A","N/A",
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","445","1.29","Q2","N/A","N/A",
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,241","1.287","Q2","N/A","N/A",
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","962","1.185","Q2","N/A","N/A",
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","228","1.167","Q3","N/A","N/A",
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","281","1.067","Q3","N/A","N/A",
"Profesional de la Informacion","PROF INFORM","EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","466","1.063","Q3","N/A","N/A",
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","260","1.029","Q3","N/A","N/A",
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","352","1.019","Q3","N/A","N/A",
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","PALGRAVE MACMILLAN LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","540","1.013","Q3","N/A","N/A",
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY-BLACKWELL","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","663","0.875","Q3","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,497","0.853","Q3","N/A","N/A",
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","ERGON-VERLAG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","297","0.831","Q3","N/A","N/A",
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","138","0.759","Q3","N/A","N/A",
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LTD","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","454","0.759","Q3","N/A","N/A",
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","248","0.746","Q3","N/A","N/A",
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","134","0.65","Q3","N/A","N/A",
"Australian Academic & Research Libraries","AUST ACAD RES LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-8623","1839-471X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","177","0.647","Q3","N/A","N/A",
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","732","0.574","Q3","N/A","N/A",
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","474","0.558","Q3","N/A","N/A",
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LTD","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","330","0.556","Q3","N/A","N/A",
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","283","0.54","Q3","N/A","N/A",
"Journal of Global Information Management","J GLOB INF MANAG","IGI GLOBAL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","319","0.517","Q3","N/A","N/A",
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","862","0.49","Q3","N/A","N/A",
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","382","0.484","Q3","N/A","N/A",
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","165","0.484","Q3","N/A","N/A",
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","100","0.472","Q4","N/A","N/A",
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","585","0.458","Q4","N/A","N/A",
"LIBRI","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","213","0.4","Q4","N/A","N/A",
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","184","0.379","Q4","N/A","N/A",
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","196","0.367","Q4","N/A","N/A",
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","59","0.364","Q4","N/A","N/A",
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","29","0.364","Q4","N/A","N/A",
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","60","0.352","Q4","N/A","N/A",
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","261","0.339","Q4","N/A","N/A",
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","236","0.325","Q4","N/A","N/A",
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","663","0.259","Q4","N/A","N/A",
"Australian Library Journal","AUST LIBR J","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-9670","2201-4276","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","103","0.255","Q4","N/A","N/A",
"LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES","LIBR COLLECT ACQUIS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1464-9055","1873-1821","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","149","0.2","Q4","N/A","N/A",
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","48","0.179","Q4","N/A","N/A",
"INTERLENDING & DOCUMENT SUPPLY","INTERLEND DOC SUPPLY","EMERALD GROUP PUBLISHING LTD","0264-1615","1758-5848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","80","0.175","Q4","N/A","N/A",
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","31","0.158","Q4","N/A","N/A",
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","65","0.125","Q4","N/A","N/A",
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","CANADIAN ASSOC INFORMATION SCIENCE","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","57","0.111","Q4","N/A","N/A",
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL CAMPINA GRANDE","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","54","0.086","Q4","N/A","N/A",
"ECONTENT","ECONTENT","ONLINE INC","1525-2531","1525-2531","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","17","0.025","Q4","N/A","N/A",
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4","0.022","Q4","N/A","N/A",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
