"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2016 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2016 JIF,JIF Quartile,2016 JCI,% of Citable OA
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","14,561","7.268","Q1","N/A","N/A",
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL","PALGRAVE MACMILLAN LTD","0268-3962","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,515","6.953","Q1","N/A","N/A",
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY-BLACKWELL","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,416","4.122","Q1","N/A","N/A",
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","WILEY-BLACKWELL","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,011","4.113","Q1","N/A","N/A",
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,719","4.09","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,087","3.872","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,655","3.698","Q1","N/A","N/A",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER SCIENCE BV","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,580","3.486","Q1","N/A","N/A",
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","656","3.469","Q1","N/A","N/A",
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER SCIENCE BV","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,104","3.398","Q1","N/A","N/A",
