Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,1997 JIF,JIF Quartile,1997 JCI,% of Citable OA
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","HANLEY & BELFUS INC","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","293","2.164","Q1","N/A","N/A",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,091","1.62","Q1","N/A","N/A",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,091","1.62","Q1","N/A","N/A",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SCIE","1,091","1.62","Q1","N/A","N/A",
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","122","1.36","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","J AM SOC INFORM SCI","JOHN WILEY & SONS INC","0002-8231","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SCIE","903","1.26","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","J AM SOC INFORM SCI","JOHN WILEY & SONS INC","0002-8231","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","903","1.26","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","J AM SOC INFORM SCI","JOHN WILEY & SONS INC","0002-8231","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","903","1.26","Q1","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","ASLIB","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","284","1.25","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","365","1.093","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SCIE","365","1.093","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","365","1.093","Q1","N/A","N/A",
"ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY","ANNU REV INFORM SCI","INFORMATION TODAY INC","0066-4200","1550-8382","INFORMATION SCIENCE & LIBRARY SCIENCE","SCIE","133","1","Q2","N/A","N/A",
"ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY","ANNU REV INFORM SCI","INFORMATION TODAY INC","0066-4200","1550-8382","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","133","1","Q1","N/A","N/A",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INST OPERATIONS RESEARCH MANAGEMENT SCIENCES","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","78","0.953","Q1","N/A","N/A",
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","318","0.785","Q1","N/A","N/A",
"INFORMATION MANAGEMENT","INFORM MANAGE","ELSEVIER SCIENCE BV","0019-9966","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SCIE","508","0.697","Q2","N/A","N/A",
"INFORMATION MANAGEMENT","INFORM MANAGE","ELSEVIER SCIENCE BV","0019-9966","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","508","0.697","Q1","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","ELSEVIER SCIENCE BV","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","463","0.691","Q1","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","ELSEVIER SCIENCE BV","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SCIE","463","0.691","Q2","N/A","N/A",
