Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of Citable OA
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,844","7","Q1","1.97","7.99"%,
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,362","6.5","Q1","1.74","88.27"%,
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,684","6.5","Q1","1.37","1.15"%,
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,865","6.4","Q1","1.94","33.06"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15,068","6.4","Q1","1.65","30.38"%,
"Quantitative Science Studies","QUANT SCI STUD","MIT PRESS","N/A","2641-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","968","6.4","N/A","1.6","99.04"%,
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,389","6.3","Q1","1.76","6"%,
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,885","5.8","Q1","1.22","0"%,
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,901","5.7","Q1","1.42","13.7"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,907","5.6","Q1","1.56","14.84"%,
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","SAGE PUBLICATIONS LTD","0268-3962","1466-4437","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,516","5.6","Q1","0.99","30.16"%,
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","12,947","4.9","Q1","1.29","0"%,
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,554","4.8","Q2","1.24","15.5"%,
"Journal of Global Information Management","J GLOB INF MANAG","IGI GLOBAL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,414","4.7","Q2","1.2","90.56"%,
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,104","4.4","Q2","1.28","6.48"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,850","4.4","Q2","1.21","7.6"%,
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,166","4.3","Q2","1.85","37.93"%,
"Profesional de la Informacion","PROF INFORM","EDICIONES PROFESIONALES INFORMACION SL-EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,530","4.2","Q2","1.12","18.4"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,645","4.1","Q2","1.41","16.72"%,
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,449","4.1","Q2","1.2","0"%,
"Bottom Line","BOTTOM LINE","EMERALD GROUP PUBLISHING LTD","0888-045X","2054-1724","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","392","4.1","N/A","1","5.13"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","20,613","3.9","Q2","0.86","26.71"%,
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,032","3.8","Q2","1.01","15.44"%,
"Publications","PUBLICATIONS","MDPI","N/A","2304-6775","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","2,024","3.8","N/A","0.84","100"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,482","3.7","Q2","1.01","15.75"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,829","3.6","Q2","2.69","57.23"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,578","3.5","Q2","1.01","25"%,
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,642","3.5","Q2","0.67","22.76"%,
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LTD","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,882","3.4","Q2","0.79","3.28"%,
"Information and Learning Sciences","INFORM LEARN SCI","EMERALD GROUP PUBLISHING LTD","2398-5348","2398-5356","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","593","3.4","N/A","0.77","4.38"%,
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,687","3.3","Q2","0.77","36.96"%,
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15,955","3.2","Q2","1.14","25.05"%,
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,843","3.2","Q2","0.82","9.2"%,
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,778","3.1","Q2","0.75","1.49"%,
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,428","2.9","Q2","0.76","12.17"%,
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,018","2.8","Q2","0.76","23.12"%,
"VINE Journal of Information and Knowledge Management Systems","VINE J INF KNOWL MAN","EMERALD GROUP PUBLISHING LTD","2059-5891","1474-1032","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","942","2.8","N/A","0.66","2.18"%,
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","914","2.8","Q2","0.5","0"%,
"World Patent Information","WORLD PAT INF","ELSEVIER","0172-2190","1874-690X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","694","2.7","N/A","0.49","7.14"%,
"Transforming Government- People Process and Policy","TRANSFORM GOV-PEOPLE","EMERALD GROUP PUBLISHING LTD","1750-6166","1750-6174","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","769","2.6","N/A","0.74","10.95"%,
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,217","2.6","Q3","0.71","8.88"%,
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","928","2.6","Q3","0.56","3.45"%,
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,097","2.4","Q3","0.62","7.03"%,
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","892","2.4","Q3","0.61","11.54"%,
"Information Discovery and Delivery","INF DISCOV DELIV","EMERALD GROUP PUBLISHING LTD","2398-6247","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","323","2.1","N/A","0.67","4.55"%,
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,169","2.1","Q3","0.54","13.23"%,
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","530","2","Q3","0.64","2.56"%,
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,367","2","Q3","0.5","97.85"%,
"Information Polity","INFORM POLITY","IOS PRESS","1570-1255","1875-8754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","735","2","N/A","0.46","26.51"%,
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,245","1.9","Q3","0.64","4.61"%,
"Public Library Quarterly","PUBLIC LIBR Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0161-6846","1541-1540","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","415","1.9","N/A","0.51","5.93"%,
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,225","1.9","Q3","0.49","1.35"%,
"Digital Policy Regulation and Governance","DIGIT POLICY REGUL G","EMERALD GROUP PUBLISHING LTD","2398-5038","2398-5046","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","363","1.8","N/A","0.54","4.65"%,
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,167","1.8","Q3","0.48","0.68"%,
"Global Knowledge Memory and Communication","GLOB KNOWL MEM COMMU","EMERALD GROUP PUBLISHING LTD","2514-9342","2514-9350","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","436","1.8","N/A","0.44","3.8"%,
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","758","1.8","Q3","0.44","0"%,
"Pacific Asia Journal of the Association for Information Systems","PAC ASIA J ASSOC INF","ASSOC INFORMATION SYSTEMS","1943-7536","1943-7544","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","256","1.8","N/A","0.43","0"%,
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","332","1.8","Q3","0.37","98.73"%,
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","301","1.8","Q3","0.01","0"%,
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,148","1.7","Q3","0.53","11.59"%,
"Digital Library Perspectives","DIGIT LIBR PERSPECT","EMERALD GROUP PUBLISHING LTD","2059-5816","2054-1694","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","213","1.7","N/A","0.43","5.71"%,
"Data Technologies and Applications","DATA TECHNOL APPL","EMERALD GROUP PUBLISHING LTD","2514-9288","2514-9318","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","317","1.6","Q3","0.45","3.08"%,
"Journal of Data and Information Science","J DATA INFO SCI","SCIENDO","2096-157X","2543-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","533","1.5","N/A","0.56","100"%,
"International Journal on Digital Libraries","INT J DIGIT LIBRARIE","SPRINGER","1432-5012","1432-1300","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","485","1.5","N/A","0.45","27.63"%,
"Journal of Web Librarianship","J WEB LIBRARIANSH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1932-2909","1932-2917","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","160","1.5","N/A","0.38","0"%,
"Information Resources Management Journal","INF RESOUR MANAG J","IGI GLOBAL","1040-1628","1533-7979","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","404","1.4","N/A","0.47","1.43"%,
"JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES","J INFORM OPTIM SCI","TAYLOR & FRANCIS LTD","0252-2667","2169-0103","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","978","1.4","N/A","0.47","0"%,
"Records Management Journal","REC MANAG J","EMERALD GROUP PUBLISHING LTD","0956-5698","1758-7689","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","265","1.4","N/A","0.37","3.7"%,
"Journal of Library Administration","J LIBR ADM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0193-0826","1540-3564","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","649","1.4","N/A","0.34","6.4"%,
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","190","1.3","Q3","1.84","0"%,
"Journal of the Australian Library and Information Association","J AUST LIB INF ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2475-0158","2475-0166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","193","1.3","Q3","0.42","0"%,
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","293","1.3","Q3","0.33","0"%,
"Library Management","LIBR MANAGE","EMERALD GROUP PUBLISHING LTD","0143-5124","1758-7921","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","706","1.3","N/A","0.3","3.6"%,
"IFLA JOURNAL-INTERNATIONAL FEDERATION OF LIBRARY ASSOCIATIONS","IFLA J-INT FED LIBR","SAGE PUBLICATIONS INC","0340-0352","1745-2651","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","439","1.3","N/A","0.29","7.59"%,
"Communications in Information Literacy","COMMUN INF LIT","COMMUNICATIONS INFORMATION LITERACY","1933-5954","1933-5954","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","284","1.3","N/A","0.28","54.17"%,
"Journal of Business & Finance Librarianship","J BUS FINANC LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0896-3568","1547-0644","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","168","1.3","N/A","0.22","1.61"%,
"International Journal of Electronic Government Research","INT J ELECTRON GOV R","IGI GLOBAL","1548-3886","1548-3894","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","323","1.2","N/A","0.38","1.56"%,
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","587","1.2","Q3","0.31","0"%,
"Journal of Information & Knowledge Management","J INF KNOWL MANAG","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6492","1793-6926","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","611","1.2","N/A","0.3","1.2"%,
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","344","1.2","Q3","0.26","93.1"%,
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,959","1.1","Q4","0.46","37.35"%,
"ARCHIVAL SCIENCE","ARCH SCI-NETHERLANDS","SPRINGER","1389-0166","1573-7500","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","560","1.1","N/A","0.4","29.49"%,
"South African Journal of Information Management","S AFR J INFORM MANAG","AOSIS","2078-1865","1560-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","308","1.1","N/A","0.32","91.76"%,
"Insights-The UKSG Journal","INSIGHTS","UBIQUITY PRESS LTD","2048-7754","2048-7754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","240","1.1","N/A","0.28","85.92"%,
"Performance Measurement and Metrics","PERFORM MEAS METR","EMERALD GROUP PUBLISHING LTD","1467-8047","1758-6925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","417","1.1","N/A","0.24","0"%,
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","423","1.1","Q4","0.04","0"%,
"Collnet Journal of Scientometrics and Information Management","COLLNET J SCIENTOMET","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0973-7766","2168-930X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","175","1","N/A","0.27","0"%,
"LIBRI-International Journal of Libraries and Information Studies","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","471","1","Q4","0.27","8.14"%,
"REFERENCE SERVICES REVIEW","REF SERV REV","EMERALD GROUP PUBLISHING LTD","0090-7324","2054-1716","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","554","1","Q4","0.27","1.2"%,
"Anales de Documentacion","AN DOC","UNIV MURCIA","1575-2437","1697-7904","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","73","1","N/A","0.13","90.32"%,
"EDUCATION FOR INFORMATION","EDUC INFORM","IOS PRESS","0167-8329","1875-8649","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","1,170","0.9","N/A","0.29","5.88"%,
"PUBLISHING RESEARCH QUARTERLY","PUBLISH RES Q","SPRINGER","1053-8801","1936-4792","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","335","0.9","N/A","0.26","16.78"%,
"DESIDOC Journal of Library & Information Technology","DESIDOC J LIB INF TE","DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE","0974-0643","0976-4658","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","414","0.9","N/A","0.24","39.35"%,
"International Journal of Technology and Human Interaction","INT J TECHNOL HUM IN","IGI GLOBAL","1548-3908","1548-3916","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","213","0.9","N/A","0.23","30.12"%,
"Collection Management","COLLECT MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0146-2679","1545-2549","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","224","0.9","N/A","0.21","1.28"%,
"International Journal of E-Adoption","INT J E-ADOPT","IGI GLOBAL","1937-9633","1937-9641","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","68","0.9","N/A","0.21","3.03"%,
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","252","0.9","Q4","0.15","2.91"%,
"Journal of Scientometric Research","J SCIENTOMETR RES","PHCOG NET","2321-6654","2320-0057","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","218","0.8","N/A","0.28","95.07"%,
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,223","0.8","Q4","0.2","85.27"%,
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","981","0.8","Q4","0.2","0"%,
"College & Undergraduate Libraries","COLL UNDERGRAD LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1069-1316","1545-2530","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","228","0.8","N/A","0.19","3.23"%,
"Evidence Based Library and Information Practice","EVID BASED LIB INF P","UNIV ALBERTA","1715-720X","1715-720X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","342","0.8","N/A","0.16","100"%,
"Cataloging & Classification Quarterly","CAT CLASSIF Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0163-9374","1544-4554","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","447","0.7","N/A","0.22","7.14"%,
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","484","0.7","Q4","0.19","1.03"%,
"Scientific and Technical Information Processing","SCI TECH INF PROCESS","PLEIADES PUBLISHING INC","0147-6882","1934-8118","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","230","0.7","N/A","0.17","1.18"%,
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","106","0.6","Q4","0.61","0"%,
"Annals of Library and Information Studies","ANN LIBR INF STUD","NATL INST SCIENCE COMMUNICATION-NISCAIR","0972-5423","0975-2404","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","216","0.6","N/A","0.18","96"%,
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","178","0.6","Q4","0.18","80.3"%,
"Journal of Map & Geography Libraries","J MAP GEOGR LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1542-0353","1542-0361","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","99","0.6","N/A","0.17","6.9"%,
"Collection and Curation","COLLECT CURATION","EMERALD GROUP PUBLISHING LTD","2514-9326","2514-9326","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","66","0.5","N/A","0.21","3.77"%,
"International Journal of Public Administration in the Digital Age","INT J PUBLIC ADM DIG","IGI GLOBAL","2334-4520","2334-4539","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","66","0.5","N/A","0.16","61.29"%,
"Technical Services Quarterly","TECH SERV Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0731-7131","1555-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","133","0.5","N/A","0.15","1.52"%,
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","150","0.5","Q4","0.11","0"%,
