"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2010 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2010 JIF,JIF Quartile,2010 JCI,% of Citable OA
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,419","5.041","Q1","N/A","N/A",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,517","3.358","Q1","N/A","N/A",
"Journal of Informetrics","J INFORMETR","ELSEVIER SCIENCE BV","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","397","3.119","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","B M J PUBLISHING GROUP","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,619","3.088","Q1","N/A","N/A",
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL","PALGRAVE MACMILLAN LTD","0268-3962","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,083","2.907","Q1","N/A","N/A",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER SCIENCE BV","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","910","2.9","Q1","N/A","N/A",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","M E SHARPE INC","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,080","2.662","Q1","N/A","N/A",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER SCIENCE BV","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,273","2.627","Q1","N/A","N/A",
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","579","2.217","Q1","N/A","N/A",
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY-BLACKWELL","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","695","2.184","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","J AM SOC INF SCI TEC","WILEY-BLACKWELL","1532-2882","1532-2890","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,202","2.137","Q1","N/A","N/A",
"ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY","ANNU REV INFORM SCI","WILEY-BLACKWELL","0066-4200","1550-8382","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","428","2","Q1","N/A","N/A",
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","WILEY-BLACKWELL","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,482","1.958","Q1","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,602","1.905","Q1","N/A","N/A",
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","650","1.878","Q1","N/A","N/A",
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","PALGRAVE MACMILLAN LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,071","1.767","Q1","N/A","N/A",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","PERGAMON-ELSEVIER SCIENCE LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,936","1.673","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","860","1.564","Q1","N/A","N/A",
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","269","1.562","Q1","N/A","N/A",
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,194","1.5","Q2","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,931","1.489","Q2","N/A","N/A",
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","160","1.487","Q2","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LIMITED","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","995","1.447","Q2","N/A","N/A",
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","923","1.406","Q2","N/A","N/A",
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","444","1.362","Q2","N/A","N/A",
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","615","1.24","Q2","N/A","N/A",
"Journal of Global Information Management","J GLOB INF MANAG","IGI PUBL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","285","1.222","Q2","N/A","N/A",
"LEARNED PUBLISHING","LEARN PUBL","ASSOC LEARNED PROFESSIONAL SOC PUBL","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","173","1.037","Q2","N/A","N/A",
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LIMITED","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","311","0.991","Q2","N/A","N/A",
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","635","0.963","Q2","N/A","N/A",
"RESEARCH EVALUATION","RES EVALUAT","BEECH TREE PUBLISHING","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","270","0.939","Q2","N/A","N/A",
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","550","0.913","Q2","N/A","N/A",
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","176","0.898","Q2","N/A","N/A",
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","561","0.87","Q2","N/A","N/A",
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","208","0.87","Q2","N/A","N/A",
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","PALGRAVE MACMILLAN LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","172","0.855","Q2","N/A","N/A",
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","526","0.844","Q2","N/A","N/A",
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","429","0.822","Q2","N/A","N/A",
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY-BLACKWELL","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","301","0.761","Q3","N/A","N/A",
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","102","0.727","Q3","N/A","N/A",
