"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2018 JIF,JIF Quartile,2018 JCI,% of Citable OA
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,885","5.063","Q1","3.38","4"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","OXFORD UNIV PRESS INC","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,671","4.896","Q1","3.18","0"%,
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,349","4.604","Q1","2","2.15"%,
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","17,042","4.373","Q1","2.74","0"%,
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,430","4.311","Q1","2.88","7.22"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,319","4.292","Q1","1.8","14.95"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER SCIENCE BV","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,129","4.12","Q1","2.01","0.84"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER SCIENCE BV","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,665","4","Q1","2.03","7.41"%,
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,655","3.892","Q1","2.01","3.52"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER SCIENCE BV","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,672","3.879","Q1","1.69","4.84"%,
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER SCIENCE BV","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,253","3.714","Q1","2.44","1.7"%,
