"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2018 JIF,JIF Quartile,2018 JCI,% of Citable OA
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,816","3.545","Q1","1.43","7.83"%,
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,712","3.286","Q1","2.67","2.15"%,
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","SAGE PUBLICATIONS LTD","0268-3962","1466-4437","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,392","3.225","Q1","2.01","13.56"%,
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,986","3.103","Q1","1.32","0"%,
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,100","3.03","Q1","1.65","5.51"%,
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,899","3.013","Q1","1.31","2.54"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,823","2.922","Q1","1.95","2.92"%,
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,421","2.875","Q1","1.58","16.04"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","10,714","2.77","Q1","1.22","10.56"%,
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,567","2.738","Q1","1.58","3.87"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,944","2.603","Q1","1.64","3.13"%,
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,491","2.457","Q2","1.36","0"%,
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,125","2.42","Q2","0.83","100"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","838","2.34","Q2","2.52","31.58"%,
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,953","2.327","Q2","1.06","0"%,
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","674","2.269","Q2","1.35","2.5"%,
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","710","2.206","Q2","2.42","11.32"%,
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","559","2.206","Q2","1.39","0"%,
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","528","2.2","Q2","1.13","14.91"%,
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,101","2.126","Q2","1.02","1.5"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,801","2","Q2","1.13","3.26"%,
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,075","1.946","Q2","1.13","100"%,
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,540","1.928","Q2","0.85","0.51"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,346","1.86","Q2","1.37","8.33"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,290","1.773","Q2","1.18","6.48"%,
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","297","1.702","Q2","0.88","3.31"%,
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,465","1.608","Q2","0.93","2.77"%,
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,946","1.573","Q2","0.67","3.48"%,
"Profesional de la Informacion","PROF INFORM","EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","878","1.505","Q2","0.98","0"%,
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","588","1.493","Q2","0.93","11.88"%,
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","653","1.485","Q2","0.69","0"%,
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,087","1.425","Q2","0.8","0"%,
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","189","1.27","Q2","2.7","0"%,
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","500","1.265","Q3","0.99","1.54"%,
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","489","1.265","Q3","0.72","0"%,
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","860","1.263","Q3","0.98","4.55"%,
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LTD","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","640","1.256","Q3","0.68","1.5"%,
"REFERENCE SERVICES REVIEW","REF SERV REV","EMERALD GROUP PUBLISHING LTD","0090-7324","2054-1716","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","569","1.25","Q3","0.61","0.85"%,
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","552","1.24","Q3","0.7","0"%,
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","440","1.203","Q3","0.56","2.97"%,
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","933","1.179","Q3","0.74","6.98"%,
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","543","1.103","Q3","0.47","0"%,
"Journal of Global Information Management","J GLOB INF MANAG","IGI GLOBAL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","379","1.098","Q3","0.66","0"%,
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","200","1.093","Q3","0.51","0"%,
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","555","1.037","Q3","0.73","0"%,
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","228","1","Q3","0.43","0"%,
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","347","0.985","Q3","0.33","100"%,
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","ERGON-VERLAG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","402","0.979","Q3","0.5","0"%,
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","219","0.923","Q3","0.56","0"%,
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","745","0.886","Q3","0.56","0"%,
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LTD","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","489","0.868","Q3","N/A","0"%,
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","250","0.8","Q3","0.54","100"%,
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","929","0.799","Q3","0.39","100"%,
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,315","0.763","Q3","0.65","2.2"%,
"LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES","LIBR COLLECT ACQUIS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1464-9055","1873-1821","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","128","0.667","Q3","0.15","0"%,
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","673","0.627","Q4","0.27","0"%,
"INTERLENDING & DOCUMENT SUPPLY","INTERLEND DOC SUPPLY","EMERALD GROUP PUBLISHING LTD","0264-1615","1758-5848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","128","0.563","Q4","N/A","3.13"%,
"LIBRI","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","284","0.553","Q4","0.34","4.17"%,
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","268","0.493","Q4","0.05","0"%,
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","158","0.459","Q4","0.3","0"%,
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","262","0.444","Q4","0.26","0"%,
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","376","0.438","Q4","0.04","0"%,
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","248","0.394","Q4","0.23","0"%,
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","120","0.373","Q4","0.2","100"%,
"Journal of the Australian Library and Information Association","J AUST LIB INF ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2475-0158","2475-0166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","10","0.348","Q4","0.21","0"%,
"Australian Library Journal","AUST LIBR J","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-9670","2201-4276","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","146","0.346","Q4","N/A","3.85"%,
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","82","0.345","Q4","0.27","0"%,
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","206","0.311","Q4","0.18","1.92"%,
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","78","0.302","Q4","0.76","0"%,
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","CANADIAN ASSOC INFORMATION SCIENCE","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","112","0.258","Q4","0.14","0"%,
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","19","0.222","Q4","0.09","10.29"%,
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","103","0.176","Q4","0.07","100"%,
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL CAMPINA GRANDE","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","138","0.173","Q4","0.07","0"%,
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","86","0.151","Q4","0.39","0"%,
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","33","0.08","Q4","0.09","0"%,
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","31","0.056","Q4","0.03","0"%,
"ECONTENT","ECONTENT","ONLINE INC","1525-2531","1525-2531","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","26","0.047","Q4","0.02","0"%,
"Data Technologies and Applications","DATA TECHNOL APPL","EMERALD GROUP PUBLISHING LTD","2514-9288","2514-9318","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1","N/A","N/A","N/A","0"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
