"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2013 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2013 JIF,JIF Quartile,2013 JCI,% of Citable OA
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY-BLACKWELL","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","832","1.333","Q2","N/A","N/A",
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LIMITED","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,123","1.257","Q2","N/A","N/A",
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","999","1.25","Q2","N/A","N/A",
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","981","1.128","Q2","N/A","N/A",
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","937","1.087","Q2","N/A","N/A",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,836","1.069","Q2","N/A","N/A",
"LEARNED PUBLISHING","LEARN PUBL","ASSOC LEARNED PROFESSIONAL SOC PUBL","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","213","1.037","Q2","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LIMITED","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,046","1.035","Q2","N/A","N/A",
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","262","1.031","Q2","N/A","N/A",
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","716","0.979","Q2","N/A","N/A",
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","598","0.972","Q2","N/A","N/A",
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LIMITED","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","351","0.938","Q2","N/A","N/A",
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY-BLACKWELL","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","429","0.932","Q2","N/A","N/A",
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","139","0.897","Q2","N/A","N/A",
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","291","0.861","Q2","N/A","N/A",
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","174","0.717","Q2","N/A","N/A",
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER SCIENCE BV","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","263","0.705","Q2","N/A","N/A",
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","PALGRAVE MACMILLAN LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","254","0.683","Q2","N/A","N/A",
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","512","0.66","Q3","N/A","N/A",
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","210","0.651","Q3","N/A","N/A",
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","85","0.636","Q3","N/A","N/A",
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","600","0.594","Q3","N/A","N/A",
"ASLIB PROCEEDINGS","ASLIB PROC","EMERALD GROUP PUBLISHING LIMITED","0001-253X","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","241","0.575","Q3","N/A","N/A",
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","551","0.574","Q3","N/A","N/A",
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","138","0.531","Q3","N/A","N/A",
"Australian Academic & Research Libraries","AUST ACAD RES LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-8623","1839-471X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","89","0.526","Q3","N/A","N/A",
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","248","0.52","Q3","N/A","N/A",
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","89","0.5","Q3","N/A","N/A",
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LIMITED","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","220","0.5","Q3","N/A","N/A",
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","169","0.484","Q3","N/A","N/A",
"Journal of Global Information Management","J GLOB INF MANAG","IGI PUBL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","197","0.483","Q3","N/A","N/A",
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","ERGON-VERLAG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","144","0.448","Q3","N/A","N/A",
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","85","0.44","Q3","N/A","N/A",
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","167","0.421","Q3","N/A","N/A",
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI PUBL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","97","0.417","Q3","N/A","N/A",
"Profesional de la Informacion","PROF INFORM","EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","175","0.402","Q3","N/A","N/A",
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LIMITED","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","270","0.394","Q3","N/A","N/A",
"Libraries & The Cultural Record","LIBR CULT REC","UNIV TEXAS PRESS","1932-4855","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","26","0.381","Q3","N/A","N/A",
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","215","0.351","Q3","N/A","N/A",
"INTERLENDING & DOCUMENT SUPPLY","INTERLEND DOC SUPPLY","EMERALD GROUP PUBLISHING LIMITED","0264-1615","1758-5848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","58","0.35","Q4","N/A","N/A",
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","60","0.333","Q4","N/A","N/A",
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8","0.316","Q4","N/A","N/A",
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","21","0.312","Q4","N/A","N/A",
"LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES","LIBR COLLECT ACQUIS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1464-9055","1873-1821","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","68","0.276","Q4","N/A","N/A",
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","151","0.273","Q4","N/A","N/A",
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","104","0.265","Q4","N/A","N/A",
"LIBRI","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","142","0.263","Q4","N/A","N/A",
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","424","0.262","Q4","N/A","N/A",
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","68","0.255","Q4","N/A","N/A",
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","372","0.237","Q4","N/A","N/A",
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LIMITED","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","208","0.228","Q4","N/A","N/A",
"Australian Library Journal","AUST LIBR J","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-9670","2201-4276","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","85","0.226","Q4","N/A","N/A",
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","19","0.115","Q4","N/A","N/A",
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","18","0.083","Q4","N/A","N/A",
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FED PARAIBA CCSA","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","18","0.08","Q4","N/A","N/A",
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","CANADIAN ASSOC INFORMATION SCIENCE","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","31","0.074","Q4","N/A","N/A",
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","29","0.062","Q4","N/A","N/A",
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","278","0.056","Q4","N/A","N/A",
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6","0.049","Q4","N/A","N/A",
"ECONTENT","ECONTENT","ONLINE INC","1525-2531","1525-2531","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","26","0.034","Q4","N/A","N/A",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
