"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2014 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2014 JIF,JIF Quartile,2014 JCI,% of Citable OA
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,353","1.617","Q1","N/A","N/A",
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LIMITED","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,385","1.586","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,418","1.55","Q1","N/A","N/A",
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,203","1.411","Q2","N/A","N/A",
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","846","1.364","Q2","N/A","N/A",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,983","1.265","Q2","N/A","N/A",
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","557","1.206","Q2","N/A","N/A",
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,005","1.158","Q2","N/A","N/A",
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","626","1.153","Q2","N/A","N/A",
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","339","1.152","Q2","N/A","N/A",
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","517","1.123","Q2","N/A","N/A",
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER SCIENCE BV","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","396","1.12","Q2","N/A","N/A",
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","682","1.048","Q2","N/A","N/A",
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","291","1.021","Q2","N/A","N/A",
"LEARNED PUBLISHING","LEARN PUBL","ASSOC LEARNED PROFESSIONAL SOC PUBL","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","225","0.919","Q2","N/A","N/A",
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LIMITED","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","595","0.918","Q2","N/A","N/A",
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","157","0.844","Q2","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LIMITED","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,064","0.833","Q2","N/A","N/A",
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LIMITED","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","354","0.784","Q2","N/A","N/A",
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","122","0.708","Q2","N/A","N/A",
"ASLIB PROCEEDINGS","ASLIB PROC","EMERALD GROUP PUBLISHING LIMITED","0001-253X","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","327","0.676","Q2","N/A","N/A",
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LIMITED","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","280","0.651","Q2","N/A","N/A",
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","236","0.639","Q2","N/A","N/A",
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","155","0.636","Q2","N/A","N/A",
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY-BLACKWELL","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","428","0.632","Q3","N/A","N/A",
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","614","0.628","Q3","N/A","N/A",
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LIMITED","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","329","0.598","Q3","N/A","N/A",
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","303","0.586","Q3","N/A","N/A",
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","ERGON-VERLAG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","157","0.585","Q3","N/A","N/A",
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","128","0.557","Q3","N/A","N/A",
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","PALGRAVE MACMILLAN LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","278","0.554","Q3","N/A","N/A",
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","147","0.553","Q3","N/A","N/A",
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LIMITED","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","301","0.535","Q3","N/A","N/A",
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","233","0.505","Q3","N/A","N/A",
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","285","0.5","Q3","N/A","N/A",
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","95","0.491","Q3","N/A","N/A",
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","468","0.475","Q3","N/A","N/A",
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","471","0.465","Q3","N/A","N/A",
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI PUBL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","128","0.455","Q3","N/A","N/A",
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","114","0.452","Q3","N/A","N/A",
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","580","0.448","Q3","N/A","N/A",
"Australian Academic & Research Libraries","AUST ACAD RES LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-8623","1839-471X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","83","0.424","Q3","N/A","N/A",
"Journal of Global Information Management","J GLOB INF MANAG","IGI PUBL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","212","0.424","Q3","N/A","N/A",
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","623","0.407","Q3","N/A","N/A",
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","412","0.386","Q3","N/A","N/A",
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","509","0.37","Q4","N/A","N/A",
"Profesional de la Informacion","PROF INFORM","EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","174","0.356","Q4","N/A","N/A",
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","14","0.35","Q4","N/A","N/A",
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","19","0.278","Q4","N/A","N/A",
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","65","0.267","Q4","N/A","N/A",
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","90","0.238","Q4","N/A","N/A",
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","127","0.233","Q4","N/A","N/A",
"LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES","LIBR COLLECT ACQUIS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1464-9055","1873-1821","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","87","0.231","Q4","N/A","N/A",
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","146","0.212","Q4","N/A","N/A",
"LIBRI","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","150","0.175","Q4","N/A","N/A",
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","CANADIAN ASSOC INFORMATION SCIENCE","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","58","0.167","Q4","N/A","N/A",
"Australian Library Journal","AUST LIBR J","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-9670","2201-4276","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","39","0.14","Q4","N/A","N/A",
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","38","0.104","Q4","N/A","N/A",
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","19","0.095","Q4","N/A","N/A",
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL CAMPINA GRANDE","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","31","0.082","Q4","N/A","N/A",
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","83","0.075","Q4","N/A","N/A",
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7","0.045","Q4","N/A","N/A",
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","19","0.038","Q4","N/A","N/A",
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4","0.023","Q4","N/A","N/A",
"ECONTENT","ECONTENT","ONLINE INC","1525-2531","1525-2531","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","21","0.016","Q4","N/A","N/A",
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LIMITED","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3","N/A","N/A","N/A","N/A",
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY-BLACKWELL","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","78","N/A","N/A","N/A","N/A",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
