"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2014 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2014 JIF,JIF Quartile,2014 JCI,% of Citable OA
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,600","5.311","Q1","N/A","N/A",
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL","PALGRAVE MACMILLAN LTD","0268-3962","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,386","4.525","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,832","3.504","Q1","N/A","N/A",
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","WILEY-BLACKWELL","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,643","3.117","Q1","N/A","N/A",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER SCIENCE BV","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,045","2.692","Q1","N/A","N/A",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,404","2.436","Q1","N/A","N/A",
"Journal of Informetrics","J INFORMETR","ELSEVIER SCIENCE BV","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,200","2.412","Q1","N/A","N/A",
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,162","2.321","Q1","N/A","N/A",
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","PALGRAVE MACMILLAN LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,545","2.213","Q1","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,805","2.183","Q1","N/A","N/A",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","M E SHARPE INC","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,258","2.062","Q1","N/A","N/A",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER SCIENCE BV","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,661","1.865","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","J AM SOC INF SCI TEC","WILEY-BLACKWELL","1532-2882","1532-2890","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,434","1.846","Q1","N/A","N/A",
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","525","1.841","Q1","N/A","N/A",
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,119","1.774","Q1","N/A","N/A",
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY-BLACKWELL","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","923","1.766","Q1","N/A","N/A",
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","365","1.727","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,193","1.655","Q1","N/A","N/A",
