"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2019 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2019 JIF,JIF Quartile,2019 JCI,% of Citable OA
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,274","8.21","Q1","4.02","5.43"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","OXFORD UNIV PRESS INC","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,756","5.366","Q1","2.95","0"%,
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","19,612","5.361","Q1","1.96","0"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,005","5.231","Q1","2.04","9.52"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,292","5.155","Q1","2.11","1.63"%,
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,073","5.098","Q1","2.53","13.66"%,
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,176","4.787","Q1","2.04","3.7"%,
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,271","4.745","Q1","2.15","1.54"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,493","4.611","Q1","1.88","7.02"%,
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,208","4.188","Q1","2.68","3.6"%,
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,190","4.139","Q1","2.35","2.54"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,959","4.112","Q1","1.66","20.18"%,
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","698","4.088","Q1","1.62","0"%,
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","796","4.028","Q1","2.49","16.67"%,
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,754","3.949","Q1","1.57","1.68"%,
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,259","3.733","Q1","1.44","8.33"%,
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","SAGE PUBLICATIONS LTD","0268-3962","1466-4437","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,733","3.625","Q1","1.86","10.91"%,
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,364","3.585","Q1","1.38","0"%,
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","696","3.3","Q1","1.55","6.52"%,
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,607","2.957","Q1","1.28","0"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","12,229","2.867","Q1","1.24","10.94"%,
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","782","2.733","Q2","1.04","7.87"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,871","2.696","Q2","1.76","5.93"%,
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,410","2.659","Q2","1.11","1.42"%,
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","10,153","2.623","Q2","1.63","7.06"%,
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","667","2.606","Q2","0.99","9.01"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,319","2.6","Q2","1.22","5.21"%,
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,496","2.571","Q2","1.47","20.62"%,
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,191","2.495","Q2","1.15","5.43"%,
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,997","2.41","Q2","1.32","7.23"%,
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,984","2.41","Q2","1.09","0.64"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,460","2.378","Q2","1.5","12.31"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,016","2.224","Q2","1.18","3.7"%,
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","426","2.222","Q2","0.86","3.76"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","854","2.068","Q2","2.85","34.29"%,
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,162","2.052","Q2","1.08","100"%,
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,129","2.042","Q2","0.81","100"%,
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","304","1.882","Q2","0.7","0"%,
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,671","1.805","Q2","0.8","1.36"%,
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,238","1.725","Q2","0.71","6.79"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,207","1.596","Q2","1.07","6.04"%,
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","719","1.588","Q2","0.52","0"%,
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","866","1.583","Q2","0.72","0.74"%,
"Profesional de la Informacion","PROF INFORM","EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","945","1.58","Q3","0.96","0"%,
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","313","1.571","Q3","0.62","0"%,
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","221","1.55","Q3","0.45","0"%,
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,173","1.485","Q3","0.74","3.06"%,
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","596","1.479","Q3","0.64","2.5"%,
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","623","1.468","Q3","0.77","0"%,
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","673","1.44","Q3","0.73","1.43"%,
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","943","1.356","Q3","0.71","8.64"%,
"LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES","LIBR COLLECT ACQUIS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1464-9055","1873-1821","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","107","1.333","Q3","0.43","0"%,
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","415","1.295","Q3","0.44","100"%,
