"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2019 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2019 JIF,JIF Quartile,2019 JCI,% of Citable OA
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LTD","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","466","1.24","Q3","N/A","0"%,
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,560","1.235","Q3","0.73","5.69"%,
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","544","1.222","Q3","0.78","2"%,
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LTD","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","670","1.218","Q3","0.67","1.37"%,
"Journal of Global Information Management","J GLOB INF MANAG","IGI GLOBAL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","399","1.213","Q3","0.64","0"%,
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","395","0.977","Q3","0.5","0"%,
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","180","0.956","Q3","2.88","0"%,
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,294","0.951","Q3","0.64","4.35"%,
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","301","0.939","Q3","0.03","0"%,
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","722","0.836","Q3","0.34","0"%,
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","243","0.811","Q3","0.31","100"%,
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","729","0.792","Q3","0.46","0"%,
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","580","0.783","Q4","0.5","0"%,
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","944","0.763","Q4","0.31","100"%,
"REFERENCE SERVICES REVIEW","REF SERV REV","EMERALD GROUP PUBLISHING LTD","0090-7324","2054-1716","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","502","0.735","Q4","0.43","0.87"%,
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","316","0.708","Q4","0.31","0"%,
"Data Technologies and Applications","DATA TECHNOL APPL","EMERALD GROUP PUBLISHING LTD","2514-9288","2514-9318","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","30","0.704","Q4","0.36","0"%,
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","87","0.586","Q4","0.31","0"%,
"LIBRI","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","255","0.583","Q4","0.3","2.82"%,
"Journal of the Australian Library and Information Association","J AUST LIB INF ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2475-0158","2475-0166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","27","0.49","Q4","0.23","0"%,
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","170","0.485","Q4","0.22","0"%,
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","80","0.484","Q4","0.85","0"%,
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","209","0.425","Q4","0.2","3.64"%,
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","149","0.35","Q4","0.12","100"%,
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","40","0.316","Q4","0.09","0"%,
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","131","0.246","Q4","0.2","100"%,
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL CAMPINA GRANDE","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","148","0.239","Q4","0.07","0"%,
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","CANADIAN ASSOC INFORMATION SCIENCE","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","102","0.179","Q4","0.13","0"%,
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","310","0.179","Q4","0.03","0"%,
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","264","0.172","Q4","0.18","0"%,
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","126","0.14","Q4","0.33","0"%,
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","26","0.14","Q4","0.07","0"%,
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","22","0.133","Q4","0.15","12.5"%,
"ECONTENT","ECONTENT","ONLINE INC","1525-2531","1525-2531","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","27","0.105","Q4","0.02","0"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
