"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of Citable OA
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","17,621","18.958","Q1","5.51","9.19"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,271","14.682","Q1","2.61","17.74"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","13,322","10.328","Q1","2.5","6.9"%,
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,360","9.14","Q1","2.36","6.42"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,259","9.011","Q1","2","22.82"%,
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","10,059","8.689","Q1","2.33","3.88"%,
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","29,352","8.513","Q1","1.82","0"%,
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,283","8.49","Q1","2.39","22.33"%,
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15,055","7.942","Q1","1.83","29.51"%,
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,608","7.767","Q1","2.35","23.02"%,
