"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of Citable OA
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,774","7.582","Q1","2.1","11.67"%,
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,549","7.466","Q1","2.15","6.34"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","OXFORD UNIV PRESS INC","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,321","7.432","Q1","2.4","41.67"%,
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI GLOBAL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,003","7.4","Q1","1.82","64.6"%,
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,424","6.353","Q1","1.33","0"%,
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,113","5.661","Q1","1.31","0.37"%,
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,227","5.611","Q1","2.36","31.48"%,
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","12,618","5.49","Q1","1.37","0"%,
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,291","5.387","Q1","2.01","9.62"%,
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,419","5.346","Q1","1.2","0"%,
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,742","5.152","Q1","1.36","11.94"%,
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","SAGE PUBLICATIONS LTD","0268-3962","1466-4437","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,497","5.15","Q2","1.55","24.62"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,209","4.497","Q2","1.38","7.87"%,
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,636","4.481","Q2","1.29","2.35"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,533","4.418","Q2","1.64","17.06"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,754","4.373","Q2","1.42","14.62"%,
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,441","4.261","Q2","1.24","12"%,
"QUALITATIVE HEALTH RESEARCH","QUAL HEALTH RES","SAGE PUBLICATIONS INC","1049-7323","1552-7557","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","16,397","4.233","Q2","1.31","21.09"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","18,464","3.801","Q2","0.91","20.55"%,
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,876","3.633","Q2","3.11","51.66"%,
"Profesional de la Informacion","PROF INFORM","EDICIONES PROFESIONALES INFORMACION SL-EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,298","3.596","Q2","1.26","0.24"%,
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,952","3.55","Q2","0.78","12.7"%,
"Journal of Global Information Management","J GLOB INF MANAG","IGI GLOBAL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","961","3.474","Q2","0.84","73.5"%,
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","524","3.444","Q2","0.95","2.63"%,
"Journal of the Association for Information Science and Technology","J ASSOC INF SCI TECH","WILEY","2330-1635","2330-1643","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,561","3.275","Q2","0.66","19.47"%,
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,599","3.209","Q2","0.8","8"%,
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,754","3.054","Q2","0.78","8.19"%,
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,629","2.901","Q2","0.74","1.09"%,
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,770","2.8","Q2","0.99","31.9"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,901","2.742","Q2","0.98","4.96"%,
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","899","2.711","Q2","0.82","15.65"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,773","2.522","Q2","1.22","23.81"%,
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,900","2.462","Q3","0.81","6.48"%,
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,232","2.323","Q3","0.71","99.05"%,
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","877","2.31","Q3","0.57","8.33"%,
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,177","2.079","Q3","0.68","3.75"%,
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,752","2.034","Q3","0.54","7.82"%,
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,978","1.953","Q3","0.55","8.22"%,
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","779","1.935","Q3","0.58","1.82"%,
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","846","1.854","Q3","0.49","0"%,
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","924","1.82","Q3","0.65","6.51"%,
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,219","1.814","Q3","0.66","17.88"%,
"SCIENTIST","SCIENTIST","LABX MEDIA GROUP","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","469","1.717","Q3","0.01","0"%,
"Data Technologies and Applications","DATA TECHNOL APPL","EMERALD GROUP PUBLISHING LTD","2514-9288","2514-9318","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","192","1.713","Q3","0.43","0.79"%,
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","328","1.685","Q3","0.32","97.56"%,
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,134","1.675","Q3","0.48","1.16"%,
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LTD","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,017","1.623","Q3","0.58","1.74"%,
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","316","1.475","Q3","0.37","0"%,
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","413","1.271","Q3","0.34","92.13"%,
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","783","1.239","Q3","0.48","0"%,
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","214","1.206","Q3","2.16","0"%,
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","630","1.097","Q3","0.36","0"%,
"Journal of the Australian Library and Information Association","J AUST LIB INF ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2475-0158","2475-0166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","144","1.055","Q3","0.3","0"%,
"REFERENCE SERVICES REVIEW","REF SERV REV","EMERALD GROUP PUBLISHING LTD","0090-7324","2054-1716","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","588","0.933","Q4","0.27","0"%,
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,925","0.902","Q4","0.41","25.51"%,
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","472","0.867","Q4","0.28","0.9"%,
"REFERENCE & USER SERVICES QUARTERLY","REF USER SERV Q","AMER LIBRARY ASSOC","1094-9054","2163-5242","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","327","0.778","Q4","0.21","0"%,
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,198","0.744","Q4","0.21","33.33"%,
"LIBRI-International Journal of Libraries and Information Studies","LIBRI","WALTER DE GRUYTER GMBH","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","418","0.667","Q4","0.23","5.75"%,
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","182","0.604","Q4","0.19","92.54"%,
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","208","0.563","Q4","0.16","92.73"%,
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","557","0.558","Q4","0.03","0"%,
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","987","0.474","Q4","0.26","0"%,
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","137","0.433","Q4","0.12","0"%,
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","126","0.352","Q4","0.08","65.38"%,
"SERIALS REVIEW","SERIALS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","223","0.351","Q4","0.11","4.76"%,
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","368","0.333","Q4","0.13","7.69"%,
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","150","0.32","Q4","0.24","0"%,
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL CAMPINA GRANDE","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","152","0.28","Q4","0.05","0"%,
"Information & Culture","INFORM CULT","UNIV TEXAS PRESS","2164-8034","2166-3033","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","60","0.258","Q4","0.49","0"%,
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","WESTERN LIBRARIES","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","128","0.222","Q4","0.04","32"%,
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","101","0.207","Q4","0.14","0"%,
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","36","0.162","Q4","0.06","0"%,
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","34","0","Q4","0.15","0"%,
"Quantitative Science Studies","QUANT SCI STUD","MIT PRESS","N/A","2641-3337","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","538","N/A","N/A","1.7","98.55"%,
"EDUCATION FOR INFORMATION","EDUC INFORM","IOS PRESS","0167-8329","1875-8649","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","772","N/A","N/A","1.57","3.49"%,
"Bottom Line","BOTTOM LINE","EMERALD GROUP PUBLISHING LTD","0888-045X","2054-1724","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","273","N/A","N/A","0.79","1.96"%,
"Transforming Government- People Process and Policy","TRANSFORM GOV-PEOPLE","EMERALD GROUP PUBLISHING LTD","1750-6166","1750-6174","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","733","N/A","N/A","0.78","6.86"%,
"Information and Learning Sciences","INFORM LEARN SCI","EMERALD GROUP PUBLISHING LTD","2398-5348","2398-5356","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","485","N/A","N/A","0.73","2.7"%,
"Journal of Data and Information Science","J DATA INFO SCI","SCIENDO","2096-157X","2543-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","349","N/A","N/A","0.66","100"%,
"VINE Journal of Information and Knowledge Management Systems","VINE J INF KNOWL MAN","EMERALD GROUP PUBLISHING LTD","2059-5891","1474-1032","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","660","N/A","N/A","0.66","1.02"%,
"Information Polity","INFORM POLITY","IOS PRESS","1570-1255","1875-8754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","634","N/A","N/A","0.64","11.39"%,
"Publications","PUBLICATIONS","MDPI","N/A","2304-6775","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","2,252","N/A","N/A","0.62","96.27"%,
"Digital Policy Regulation and Governance","DIGIT POLICY REGUL G","EMERALD GROUP PUBLISHING LTD","2398-5038","2398-5046","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","281","N/A","N/A","0.61","0"%,
"Information Technologies & International Development","INF TECHNOL INT DEV","USC ANNENBERG PRESS","1544-7529","1544-7537","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","436","N/A","N/A","0.6","0"%,
"International Journal on Digital Libraries","INT J DIGIT LIBRARIE","SPRINGER","1432-5012","1432-1300","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","379","N/A","N/A","0.57","25.61"%,
"JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES","J INFORM OPTIM SCI","TAYLOR & FRANCIS LTD","0252-2667","2169-0103","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","948","N/A","N/A","0.57","0"%,
"ARCHIVAL SCIENCE","ARCH SCI-NETHERLANDS","SPRINGER","1389-0166","1573-7500","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","574","N/A","N/A","0.54","22.86"%,
"Information Discovery and Delivery","INF DISCOV DELIV","EMERALD GROUP PUBLISHING LTD","2398-6247","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","206","N/A","N/A","0.52","0.86"%,
"Records Management Journal","REC MANAG J","EMERALD GROUP PUBLISHING LTD","0956-5698","1758-7689","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","347","N/A","N/A","0.47","1.52"%,
"Pacific Asia Journal of the Association for Information Systems","PAC ASIA J ASSOC INF","ASSOC INFORMATION SYSTEMS","1943-7536","1943-7544","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","145","N/A","N/A","0.45","0"%,
"Digital Library Perspectives","DIGIT LIBR PERSPECT","EMERALD GROUP PUBLISHING LTD","2059-5816","2054-1694","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","150","N/A","N/A","0.43","2.04"%,
"World Patent Information","WORLD PAT INF","ELSEVIER","0172-2190","1874-690X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","541","N/A","N/A","0.42","7.87"%,
"South African Journal of Information Management","S AFR J INFORM MANAG","AOSIS","2078-1865","1560-683X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","292","N/A","N/A","0.39","90.24"%,
"Global Knowledge Memory and Communication","GLOB KNOWL MEM COMMU","EMERALD GROUP PUBLISHING LTD","2514-9342","2514-9350","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","211","N/A","N/A","0.37","0.51"%,
"Information Resources Management Journal","INF RESOUR MANAG J","IGI GLOBAL","1040-1628","1533-7979","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","303","N/A","N/A","0.35","1.96"%,
"International Journal of Electronic Government Research","INT J ELECTRON GOV R","IGI GLOBAL","1548-3886","1548-3894","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","260","N/A","N/A","0.35","0"%,
"Public Library Quarterly","PUBLIC LIBR Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0161-6846","1541-1540","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","357","N/A","N/A","0.34","1.03"%,
"Journal of Web Librarianship","J WEB LIBRARIANSH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1932-2909","1932-2917","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","160","N/A","N/A","0.33","0"%,
"Journal of Information & Knowledge Management","J INF KNOWL MANAG","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6492","1793-6926","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","431","N/A","N/A","0.32","0.56"%,
"Journal of Library Administration","J LIBR ADM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0193-0826","1540-3564","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","563","N/A","N/A","0.32","4.17"%,
"Communications in Information Literacy","COMMUN INF LIT","COMMUNICATIONS INFORMATION LITERACY","1933-5954","1933-5954","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","274","N/A","N/A","0.3","74"%,
"Insights-The UKSG Journal","INSIGHTS","UBIQUITY PRESS LTD","2048-7754","2048-7754","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","270","N/A","N/A","0.3","90.8"%,
"International Journal of E-Adoption","INT J E-ADOPT","IGI GLOBAL","1937-9633","1937-9641","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","64","N/A","N/A","0.3","0"%,
"Library Management","LIBR MANAGE","EMERALD GROUP PUBLISHING LTD","0143-5124","1758-7921","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","685","N/A","N/A","0.3","1.96"%,
"Journal of Scientometric Research","J SCIENTOMETR RES","PHCOG NET","2321-6654","2320-0057","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","158","N/A","N/A","0.29","95.8"%,
"College & Undergraduate Libraries","COLL UNDERGRAD LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1069-1316","1545-2530","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","237","N/A","N/A","0.26","2.78"%,
"Collnet Journal of Scientometrics and Information Management","COLLNET J SCIENTOMET","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0973-7766","2168-930X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","152","N/A","N/A","0.26","0"%,
"Performance Measurement and Metrics","PERFORM MEAS METR","EMERALD GROUP PUBLISHING LTD","1467-8047","1758-6925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","170","N/A","N/A","0.26","0"%,
"IFLA JOURNAL-INTERNATIONAL FEDERATION OF LIBRARY ASSOCIATIONS","IFLA J-INT FED LIBR","SAGE PUBLICATIONS INC","0340-0352","1745-2651","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","352","N/A","N/A","0.25","4.51"%,
"International Journal of Technology and Human Interaction","INT J TECHNOL HUM IN","IGI GLOBAL","1548-3908","1548-3916","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","184","N/A","N/A","0.25","0"%,
