"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2000 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2000 JIF,JIF Quartile,2000 JCI,% of Citable OA
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","HANLEY & BELFUS INC","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","725","3.089","Q1","N/A","N/A",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,532","2.064","Q1","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","ASLIB","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","417","1.64","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","J AM SOC INFORM SCI","JOHN WILEY & SONS INC","0002-8231","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,439","1.226","Q1","N/A","N/A",
"INTERNET WORLD","INTERNET WORLD","MECKLERMEDIA CORP","1064-3923","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","98","1.167","Q1","N/A","N/A",
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SCI","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","33","1.167","Q1","N/A","N/A",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INST OPERATIONS RESEARCH MANAGEMENT SCIENCES","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","331","1.093","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","570","0.988","Q1","N/A","N/A",
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","331","0.905","Q1","N/A","N/A",
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","INT SOC KNOWLEDGE ORGANIZATION","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","32","0.778","Q1","N/A","N/A",
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHI","RESTAURATOR","MUNKSGAARD INT PUBL LTD","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","80","0.759","Q1","N/A","N/A",
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","277","0.731","Q1","N/A","N/A",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","PERGAMON-ELSEVIER SCIENCE LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","474","0.719","Q1","N/A","N/A",
"INFORMATION & MANAGEMENT","INFORM MANAGE","ELSEVIER SCIENCE BV","0378-7206","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","593","0.683","Q2","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","KLUWER ACADEMIC PUBL","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","710","0.66","Q2","N/A","N/A",
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","67","0.481","Q2","N/A","N/A",
"JOURNAL OF INFORMATION SCIENCE","J INFORM SCI","BOWKER-SAUR","0165-5515","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","238","0.473","Q2","N/A","N/A",
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","38","0.463","Q2","N/A","N/A",
"ONLINE","ONLINE","ONLINE INC","0146-5422","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","131","0.456","Q2","N/A","N/A",
