"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2017 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2017 JIF,JIF Quartile,2017 JCI,% of Citable OA
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,792","1.939","Q2","0.89","N/A",
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,174","1.889","Q2","1.46","N/A",
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","459","1.862","Q2","1.1","N/A",
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","600","1.857","Q2","1.23","N/A",
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LTD","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,218","1.675","Q2","0.94","N/A",
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,695","1.648","Q2","1.3","N/A",
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LTD","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","673","1.639","Q2","1.03","N/A",
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","501","1.635","Q2","1.2","N/A",
"LEARNED PUBLISHING","LEARN PUBL","WILEY","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","458","1.632","Q2","0.87","N/A",
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,121","1.626","Q2","1.1","N/A",
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","932","1.541","Q2","0.8","N/A",
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","551","1.473","Q2","0.94","N/A",
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","193","1.461","Q2","0.93","N/A",
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,449","1.459","Q2","0.97","N/A",
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","410","1.387","Q2","1.05","N/A",
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,059","1.372","Q2","0.88","N/A",
"Profesional de la Informacion","PROF INFORM","EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","670","1.318","Q2","0.85","N/A",
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","838","1.19","Q2","0.64","N/A",
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LTD","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","473","1.17","Q3","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LTD","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,797","1.157","Q3","0.63","N/A",
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","372","1.089","Q3","0.66","N/A",
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","575","1.08","Q3","2.08","N/A",
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","TAYLOR & FRANCIS INC","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","200","1","Q3","0.63","N/A",
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","245","0.968","Q3","0.58","N/A",
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","567","0.913","Q3","0.63","N/A",
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","331","0.905","Q3","0.74","N/A",
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","TAYLOR & FRANCIS LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","567","0.864","Q3","0.67","N/A",
"Australian Academic & Research Libraries","AUST ACAD RES LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0004-8623","1839-471X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","210","0.818","Q3","N/A","N/A",
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LTD","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","611","0.8","Q3","0.52","N/A",
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","905","0.762","Q3","0.35","N/A",
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LTD","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","502","0.759","Q3","0.49","N/A",
