"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2012 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2012 JIF,JIF Quartile,2012 JCI,% of Citable OA
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","WILEY-BLACKWELL","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,868","1.778","Q1","N/A","N/A",
"International Journal of Computer-Supported Collaborative Learning","INT J COMP-SUPP COLL","SPRINGER","1556-1607","1556-1615","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","377","1.717","Q1","N/A","N/A",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER SCIENCE BV","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,091","1.663","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","INT J GEOGR INF SCI","TAYLOR & FRANCIS LTD","1365-8816","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,284","1.613","Q1","N/A","N/A",
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","961","1.594","Q1","N/A","N/A",
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","PALGRAVE MACMILLAN LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,268","1.558","Q1","N/A","N/A",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER SCIENCE BV","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","743","1.5","Q1","N/A","N/A",
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LIMITED","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,392","1.474","Q1","N/A","N/A",
"LIBRARY & INFORMATION SCIENCE RESEARCH","LIBR INFORM SCI RES","ELSEVIER SCIENCE INC","0740-8188","1873-1848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","526","1.4","Q1","N/A","N/A",
"Information and Organization","INFORM ORGAN-UK","ELSEVIER SCI LTD","1471-7727","1873-7919","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","261","1.381","Q2","N/A","N/A",
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY-BLACKWELL","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","696","1.381","Q2","N/A","N/A",
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","628","1.303","Q2","N/A","N/A",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","M E SHARPE INC","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,645","1.262","Q2","N/A","N/A",
"JOURNAL OF INFORMATION SCIENCE","J INF SCI","SAGE PUBLICATIONS LTD","0165-5515","1741-6485","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","827","1.238","Q2","N/A","N/A",
"LEARNED PUBLISHING","LEARN PUBL","ASSOC LEARNED PROFESSIONAL SOC PUBL","0953-1513","1741-4857","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","208","1.182","Q2","N/A","N/A",
"MIS Quarterly Executive","MIS Q EXEC","INDIANA UNIV, OPER & DECISION TECHNOL DEPT","1540-1960","1540-1979","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","189","1.143","Q2","N/A","N/A",
"JOURNAL OF DOCUMENTATION","J DOC","EMERALD GROUP PUBLISHING LIMITED","0022-0418","1758-7379","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","907","1.138","Q2","N/A","N/A",
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","561","1.114","Q2","N/A","N/A",
"RESEARCH EVALUATION","RES EVALUAT","OXFORD UNIV PRESS","0958-2029","1471-5449","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","411","1.074","Q2","N/A","N/A",
"Knowledge Management Research & Practice","KNOWL MAN RES PRACT","PALGRAVE MACMILLAN LTD","1477-8238","1477-8246","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","240","1.069","Q2","N/A","N/A",
"Journal of the Association for Information Systems","J ASSOC INF SYST","ASSOC INFORMATION SYSTEMS","1536-9323","1558-3457","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","751","1.048","Q2","N/A","N/A",
"COLLEGE & RESEARCH LIBRARIES","COLL RES LIBR","ASSOC COLL RESEARCH LIBRARIES","0010-0870","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","441","1.016","Q2","N/A","N/A",
"JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","J MED LIBR ASSOC","MEDICAL LIBRARY ASSOC","1536-5050","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","627","0.976","Q2","N/A","N/A",
"LIBRARY RESOURCES & TECHNICAL SERVICES","LIBR RESOUR TECH SER","AMER LIBRARY ASSOC","0024-2527","2159-9610","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","131","0.969","Q2","N/A","N/A",
"ONLINE INFORMATION REVIEW","ONLINE INFORM REV","EMERALD GROUP PUBLISHING LIMITED","1468-4527","1468-4535","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","480","0.939","Q2","N/A","N/A",
"Journal of Global Information Technology Management","J GLOB INF TECH MAN","IVY LEAGUE PUBL","1097-198X","2333-6846","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","117","0.917","Q2","N/A","N/A",
"JOURNAL OF ACADEMIC LIBRARIANSHIP","J ACAD LIBR","ELSEVIER SCIENCE INC","0099-1333","1879-1999","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","561","0.885","Q2","N/A","N/A",
"Ethics and Information Technology","ETHICS INF TECHNOL","SPRINGER","1388-1957","1572-8439","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","227","0.846","Q2","N/A","N/A",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,681","0.817","Q2","N/A","N/A",
"Information Technology & People","INFORM TECHNOL PEOPL","EMERALD GROUP PUBLISHING LIMITED","0959-3845","1758-5813","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","322","0.767","Q2","N/A","N/A",
"LIBRARY QUARTERLY","LIBR QUART","UNIV CHICAGO PRESS","0024-2519","1549-652X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","267","0.743","Q3","N/A","N/A",
"ELECTRONIC LIBRARY","ELECTRON LIBR","EMERALD GROUP PUBLISHING LIMITED","0264-0473","1758-616X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","257","0.667","Q3","N/A","N/A",
"Health Information and Libraries Journal","HEALTH INFO LIBR J","WILEY-BLACKWELL","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","364","0.662","Q3","N/A","N/A",
"LIBRARY HI TECH","LIBR HI TECH","EMERALD GROUP PUBLISHING LIMITED","0737-8831","0737-8831","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","255","0.621","Q3","N/A","N/A",
"INFORMATION TECHNOLOGY AND LIBRARIES","INFORM TECHNOL LIBR","AMER LIBRARY ASSOC","0730-9295","2163-5226","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","92","0.595","Q3","N/A","N/A",
"SERIALS REVIEW","SERIALS REV","ELSEVIER INC","0098-7913","1879-095X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","109","0.524","Q3","N/A","N/A",
"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","INFORM RES","UNIV SHEFFIELD DEPT INFORMATION STUDIES","1368-1613","1368-1613","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","400","0.52","Q3","N/A","N/A",
"Australian Academic & Research Libraries","AUST ACAD RES LIBR","AUSTRALIAN LIBRARY & INFORMATION ASSOC LTD","0004-8623","1839-471X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","58","0.512","Q3","N/A","N/A",
"Revista Espanola de Documentacion Cientifica","REV ESP DOC CIENT","CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS","0210-0614","1988-4621","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","88","0.453","Q3","N/A","N/A",
"Journal of Global Information Management","J GLOB INF MANAG","IGI PUBL","1062-7375","1533-7995","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","335","0.452","Q3","N/A","N/A",
"Profesional de la Informacion","PROF INFORM","EPI","1386-6710","1699-2407","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","176","0.439","Q3","N/A","N/A",
"ASLIB PROCEEDINGS","ASLIB PROC","EMERALD GROUP PUBLISHING LIMITED","0001-253X","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","248","0.432","Q3","N/A","N/A",
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","66","0.423","Q3","N/A","N/A",
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","ERGON-VERLAG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","102","0.407","Q3","N/A","N/A",
"PORTAL-LIBRARIES AND THE ACADEMY","PORTAL-LIBR ACAD","JOHNS HOPKINS UNIV PRESS","1531-2542","1530-7131","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","183","0.4","Q3","N/A","N/A",
"LIBRARY JOURNAL","LIBR J","REED BUSINESS INFORMATION","0363-0277","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","340","0.397","Q3","N/A","N/A",
"SCIENTIST","SCIENTIST","SCIENTIST INC","0890-3670","1547-0806","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","244","0.387","Q3","N/A","N/A",
"Information Technology for Development","INFORM TECHNOL DEV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0268-1102","1554-0170","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","131","0.378","Q3","N/A","N/A",
"PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS","PROGRAM-ELECTRON LIB","EMERALD GROUP PUBLISHING LIMITED","0033-0337","1758-7301","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","179","0.377","Q3","N/A","N/A",
"Information Development","INFORM DEV","SAGE PUBLICATIONS LTD","0266-6669","1741-6469","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","74","0.375","Q3","N/A","N/A",
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","K G SAUR VERLAG KG","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","200","0.375","Q3","N/A","N/A",
"LIBRI","LIBRI","K G SAUR VERLAG KG","0024-2667","1865-8423","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","125","0.368","Q4","N/A","N/A",
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","323","0.341","Q4","N/A","N/A",
"ONLINE","ONLINE","ONLINE INC","0146-5422","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","138","0.341","Q4","N/A","N/A",
"JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","J LIBR INF SCI","SAGE PUBLICATIONS LTD","0961-0006","1741-6477","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","109","0.286","Q4","N/A","N/A",
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","357","0.273","Q4","N/A","N/A",
"JOURNAL OF SCHOLARLY PUBLISHING","J SCHOLARLY PUBL","UNIV TORONTO PRESS INC","1198-9742","1710-1166","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","61","0.25","Q4","N/A","N/A",
"Journal of Organizational and End User Computing","J ORGAN END USER COM","IGI PUBL","1546-2234","1546-5012","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","71","0.243","Q4","N/A","N/A",
"Australian Library Journal","AUST LIBR J","AUSTRALIAN LIBRARY & INFORMATION ASSOC LTD","0004-9670","2201-4276","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","45","0.239","Q4","N/A","N/A",
"INTERLENDING & DOCUMENT SUPPLY","INTERLEND DOC SUPPLY","EMERALD GROUP PUBLISHING LIMITED","0264-1615","1758-5848","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","65","0.231","Q4","N/A","N/A",
"LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES","LIBR COLLECT ACQUIS","PERGAMON-ELSEVIER SCIENCE LTD","1464-9055","1873-1821","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","100","0.185","Q4","N/A","N/A",
"CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE","CAN J INFORM LIB SCI","CANADIAN ASSOC INFORMATION SCIENCE","1195-096X","1920-7239","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","41","0.171","Q4","N/A","N/A",
"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES","SOC SCI INFORM","SAGE PUBLICATIONS LTD","0539-0184","1461-7412","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","512","0.167","Q4","N/A","N/A",
"Transinformacao","TRANSINFORMACAO","PONTIFICIA UNIVERSIDADE CATOLICA CAMPINAS","0103-3786","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","27","0.167","Q4","N/A","N/A",
"Libraries & The Cultural Record","LIBR CULT REC","UNIV TEXAS PRESS","1932-4855","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15","0.158","Q4","N/A","N/A",
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FED PARAIBA CCSA","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","23","0.155","Q4","N/A","N/A",
"ECONTENT","ECONTENT","ONLINE INC","1525-2531","1525-2531","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","28","0.127","Q4","N/A","N/A",
"African Journal of Library Archives and Information Science","AFR J LIBR ARCH INFO","ARCHLIB & INFORMATION SERVICES LTD","0795-4778","0795-4778","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","28","0.111","Q4","N/A","N/A",
"Perspectivas em Ciencia da Informacao","PERSPECT CIENC INF","ESCOLA CIENCIA INFORM UFMG","1413-9936","1981-5344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","45","0.101","Q4","N/A","N/A",
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9","0.07","Q4","N/A","N/A",
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","20","0.062","Q4","N/A","N/A",
"LIBRARY AND INFORMATION SCIENCE","LIBR INFORM SC","MITA SOC LIBRARY INFORMATION SCIENCE","0373-4447","0373-4447","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4","0.05","Q4","N/A","N/A",
"Informacios Tarsadalom","INF TARSAD","INFONIA","1587-8694","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1","0","Q4","N/A","N/A",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
