"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2012 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2012 JIF,JIF Quartile,2012 JCI,% of Citable OA
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","7,277","4.659","Q1","N/A","N/A",
"Journal of Informetrics","J INFORMETR","ELSEVIER SCIENCE BV","1751-1577","1875-5879","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","943","4.153","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","BMJ PUBLISHING GROUP","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,012","3.571","Q1","N/A","N/A",
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL","PALGRAVE MACMILLAN LTD","0268-3962","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,165","3.532","Q1","N/A","N/A",
"Information Technology & Management","INFORM TECHNOL MANAG","SPRINGER","1385-951X","1573-7667","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","247","3.025","Q1","N/A","N/A",
"ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY","ANNU REV INFORM SCI","WILEY-BLACKWELL","0066-4200","1550-8382","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","380","2.174","Q1","N/A","N/A",
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,555","2.133","Q1","N/A","N/A",
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,614","2.079","Q1","N/A","N/A",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,443","2.01","Q1","N/A","N/A",
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","J AM SOC INF SCI TEC","WILEY-BLACKWELL","1532-2882","1532-2890","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,613","2.005","Q1","N/A","N/A",
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","835","1.91","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","970","1.843","Q1","N/A","N/A",
