doi;registrado;agencia;titulo;publisher
10.22201/dgbsdi.0187750xp.2025.1.1594X;NÃO;;;
10.21728/asklepion.2025v4n2e-126;SIM;Crossref;Comportamento informacional de pessoas com sífilis;Logeion Filosofia da Informacao
10.22201/dgbsdi.0187750xp.2025.1.1581;SIM;Crossref;Desarrollo del Sistema Add Tesis to Koha: Automatización del Procesamiento de Tesis en la UNAM y su Integración con Koha;Universidad Nacional Autonoma de Mexico
10.64729/an.acervo.v38i3.2658;SIM;Crossref;Memória, patrimônio e educação;Arquivo Nacional
