Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2003);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,082;Q1;310;315;840;7230;2964;733;3,55;22,95;12,83;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
2;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,238;Q1;203;21;76;1027;453;74;6,17;48,90;23,81;8;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;145507;"Cybermetrics";journal;"11375019";"";Yes;No;2,768;Q1;16;0;8;0;25;8;3,00;0,00;0,00;0;Spain;Western Europe;"";"1997, 1999-2002, 2004-2013, 2015";"Library and Information Sciences (Q1)";"Social Sciences"
4;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;2,427;Q1;63;28;110;662;159;107;1,66;23,64;51,16;2;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
5;12124;"Annual Review of Information Science and Technology";book series;"00664200";"Information Today";No;No;1,718;Q1;64;12;23;1555;75;22;4,21;129,58;27,78;9;United States;Northern America;"Information Today";"1981-1982, 1987, 1996-2000, 2002-2011";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
6;12689;"Information Processing and Management";journal;"18735371, 03064573";"Elsevier Ltd";No;No;1,575;Q1;149;48;125;1533;304;122;1,75;31,94;15,79;0;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
7;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;1,533;Q1;75;51;143;1095;148;95;1,10;21,47;65,79;0;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
8;16004;"Reference and User Services Quarterly";journal;"10949054";"American Library Association";No;No;1,489;Q1;41;35;83;775;92;78;0,74;22,14;61,36;0;United States;Northern America;"American Library Association";"1997-2019, 2021, 2024-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
9;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;1,461;Q1;50;17;43;633;46;40;0,90;37,24;33,33;1;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2026";"Library and Information Sciences (Q1)";"Social Sciences"
10;12794;"Journal of Documentation";journal;"00220418";"Emerald Group Publishing Ltd.";No;No;1,349;Q1;80;42;111;1230;189;111;1,65;29,29;34,00;8;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
