Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,928;Q1;310;466;1032;11767;6334;926;5,05;25,25;14,38;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
2;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,585;Q1;203;27;69;1313;495;65;5,75;48,63;21,82;8;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;12124;"Annual Review of Information Science and Technology";book series;"00664200";"Information Today";No;No;2,012;Q1;64;14;38;2304;153;37;2,27;164,57;42,86;2;United States;Northern America;"Information Today";"1981-1982, 1987, 1996-2000, 2002-2011";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
4;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;1,595;Q1;63;35;75;1057;115;71;1,45;30,20;70,77;4;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
5;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,436;Q1;181;181;372;6228;946;327;2,38;34,41;26,02;38;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
6;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;1,155;Q1;50;27;55;948;67;52;0,84;35,11;48,15;1;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2026";"Library and Information Sciences (Q1)";"Social Sciences"
7;12690;"Information Research";journal;"13681613";"University of Boras";Yes;Yes;1,115;Q1;61;48;113;1553;205;106;1,37;32,35;58,33;0;Sweden;Western Europe;"University of Boras";"1996-2026";"Library and Information Sciences (Q1)";"Social Sciences"
8;15933;"Portal";journal;"15307131, 15312542";"Johns Hopkins University Press";No;No;1,084;-;48;32;106;894;126;99;1,07;27,94;67,35;4;United States;Northern America;"Johns Hopkins University Press";"2001-2026";"Development (Q1)";"Social Sciences"
9;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;1,063;Q1;74;32;85;1142;118;73;1,31;35,69;47,92;8;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
10;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";"Springer London";No;No;1,061;-;106;54;126;806;416;117;2,88;14,93;17,93;3;United Kingdom;Western Europe;"Springer London";"1997-2026";"Computer Science Applications (Q1); Hardware and Architecture (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
