Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2012);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,107;Q1;203;75;139;4588;916;129;5,12;61,17;22,63;23;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
2;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";"Elsevier B.V.";No;No;2,662;Q1;107;76;172;2242;854;158;4,71;29,50;26,81;26;Netherlands;Western Europe;"Elsevier B.V.";"2007-2026";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
3;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,468;Q1;310;499;1480;14937;6530;1472;4,12;29,93;15,07;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
4;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;2,364;Q1;63;37;115;1090;204;91;2,22;29,46;60,71;9;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
5;4700152758;"Reference Librarian";journal;"02763877, 15411117";"Routledge";No;No;1,944;Q1;27;44;115;580;144;102;1,48;13,18;60,32;2;United States;Northern America;"Routledge";"1982-2025";"Library and Information Sciences (Q1)";"Social Sciences"
6;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;1,871;Q1;74;40;110;1899;263;97;2,19;47,48;51,22;16;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
7;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;1,695;Q1;75;55;209;1576;322;185;1,54;28,65;71,11;9;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
8;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;1,518;Q1;219;303;771;14967;3576;763;4,51;49,40;26,00;10;United States;Northern America;"American Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
9;12124;"Annual Review of Information Science and Technology";book series;"00664200";"Information Today";No;No;1,488;Q1;64;0;36;0;116;33;2,84;0,00;0,00;0;United States;Northern America;"Information Today";"1981-1982, 1987, 1996-2000, 2002-2011";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
10;144671;"Reference Services Review";journal;"00907324";"Emerald Group Publishing Ltd.";No;No;1,486;Q1;46;43;140;891;166;137;1,21;20,72;69,12;5;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1973-2026";"E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
11;17857;"Journal of the Medical Library Association";journal;"15365050, 15589439";"Medical Library Association";Yes;Yes;1,428;Q1;82;70;173;963;282;146;1,22;13,76;71,22;4;United States;Northern America;"Medical Library Association";"1999, 2001-2026";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
12;4700152789;"Collection Management";journal;"01462679, 15452549";"Routledge";No;No;1,402;Q1;24;25;76;363;136;63;2,21;14,52;65,00;0;United States;Northern America;"Routledge";"1976, 1978-1979, 1981-1999, 2001-2025";"Library and Information Sciences (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
13;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,398;Q1;181;182;594;8744;2192;566;3,40;48,04;35,54;45;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
14;15933;"Portal";journal;"15307131, 15312542";"Johns Hopkins University Press";No;No;1,334;-;48;24;94;931;106;80;0,93;38,79;57,69;3;United States;Northern America;"Johns Hopkins University Press";"2001-2026";"Development (Q1)";"Social Sciences"
15;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;1,301;Q1;157;75;175;3955;980;167;4,86;52,73;29,75;40;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2026";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
16;15916;"Journal of Health Communication";journal;"10810730, 10870415";"Taylor and Francis Ltd.";No;No;1,284;Q1;120;139;311;4575;735;272;2,32;32,91;62,09;67;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Communication (Q1); Health (social science) (Q1); Library and Information Sciences (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
17;24222;"Scientometrics";journal;"15882861, 01389130";"Springer Nature";No;No;1,280;Q1;167;264;648;8352;1668;635;2,59;31,64;28,93;79;Switzerland;Western Europe;"Springer Nature";"1978-2026";"Computer Science Applications (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
