Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2004);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,570;Q1;310;327;882;7211;4190;733;4,26;22,05;14,51;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
2;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,434;Q1;203;22;73;1125;561;68;6,68;51,14;24,49;8;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;145507;"Cybermetrics";journal;"11375019";"";Yes;No;3,400;Q1;16;2;4;67;16;4;1,50;33,50;0,00;0;Spain;Western Europe;"";"1997, 1999-2002, 2004-2013, 2015";"Library and Information Sciences (Q1)";"Social Sciences"
4;12124;"Annual Review of Information Science and Technology";book series;"00664200";"Information Today";No;No;2,844;Q1;64;12;26;1947;125;24;4,81;162,25;55,56;2;United States;Northern America;"Information Today";"1981-1982, 1987, 1996-2000, 2002-2011";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
5;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;2,348;Q1;63;19;102;539;185;97;1,49;28,37;48,15;5;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
6;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,647;Q1;181;114;377;3852;909;319;2,31;33,79;30,74;21;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
7;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;1,641;Q1;75;64;153;1760;244;84;1,50;27,50;59,52;4;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
8;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;1,531;Q1;149;38;123;1281;276;122;1,95;33,71;16,47;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
9;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;1,301;Q1;74;29;71;1005;102;62;1,00;34,66;60,47;9;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
10;14066;"Library Trends";journal;"15590682, 00242594";"Johns Hopkins University Press";No;No;1,292;Q1;57;53;130;2012;151;122;0,58;37,96;62,69;0;United States;Northern America;"Johns Hopkins University Press";"1980-2026";"Library and Information Sciences (Q1)";"Social Sciences"
11;12709;"Information Technology and Libraries";journal;"07309295, 21635226";"American Library Association";Yes;Yes;1,154;Q1;42;21;82;537;79;75;0,93;25,57;42,42;0;United States;Northern America;"American Library Association";"1968, 1971-1974, 1981, 1988-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
12;15394;"D-Lib Magazine";journal;"10829873";"Corporation for National Research Initiatives";Yes;No;1,147;Q1;60;115;526;1052;360;269;0,65;9,15;31,72;9;United States;Northern America;"Corporation for National Research Initiatives";"1996-2017";"Library and Information Sciences (Q1)";"Social Sciences"
13;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;1,146;Q1;50;18;48;550;50;43;1,09;30,56;45,83;1;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2026";"Library and Information Sciences (Q1)";"Social Sciences"
14;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;1,115;Q1;219;251;624;8661;2128;624;3,13;34,51;20,92;25;United States;Northern America;"American Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
15;12794;"Journal of Documentation";journal;"00220418";"Emerald Group Publishing Ltd.";No;No;1,103;Q1;80;51;121;1199;167;121;1,15;23,51;39,71;5;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
