Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
29;147225;"Computers in the Schools";journal;"07380569, 15287033";"Routledge";No;No;0,843;Q1;41;22;65;592;70;56;0,49;26,91;57,78;4;United States;Northern America;"Routledge";"1984-1997, 1999, 2001-2026";"Computer Science (miscellaneous) (Q1); Education (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
30;13316;"Journal of Librarianship and Information Science";journal;"09610006, 17416477";"SAGE Publications Ltd";No;No;0,839;Q1;45;24;60;794;94;56;1,46;33,08;55,56;4;United Kingdom;Western Europe;"SAGE Publications Ltd";"1969-2026";"Library and Information Sciences (Q1)";"Social Sciences"
31;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;0,838;Q1;50;22;61;900;75;56;1,15;40,91;51,72;5;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2026";"Library and Information Sciences (Q1)";"Social Sciences"
32;4700152758;"Reference Librarian";journal;"02763877, 15411117";"Routledge";No;No;0,832;Q1;27;17;117;330;105;99;0,84;19,41;81,82;2;United States;Northern America;"Routledge";"1982-2025";"Library and Information Sciences (Q1)";"Social Sciences"
33;4700152795;"Journal of Library Administration";journal;"01930826, 15403564";"Routledge";No;No;0,817;Q1;36;45;226;763;191;214;0,87;16,96;66,67;7;United States;Northern America;"Routledge";"1980-2026";"Library and Information Sciences (Q1); Public Administration (Q1)";"Social Sciences"
34;19600157322;"Journal of Cheminformatics";journal;"17582946";"BioMed Central Ltd";Yes;No;0,813;Q1;101;120;32;2102;145;31;4,53;17,52;13,83;3;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2026";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q2)";"Chemistry; Computer Science; Social Sciences"
35;12815;"Journal of Information Technology";journal;"14664437, 02683962";"Palgrave Macmillan Ltd.";No;No;0,795;Q1;102;33;104;1566;316;86;2,75;47,45;28,95;3;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
36;21100374356;"Aslib Journal of Information Management";journal;"20503806, 20503814";"Emerald Group Publishing Ltd.";No;No;0,791;Q1;58;39;124;1375;195;122;1,27;35,26;41,25;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
37;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;0,781;Q1;215;70;180;3161;577;159;3,39;45,16;30,67;15;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Computer Networks and Communications (Q1); Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
38;15420;"Electronic Library";journal;"02640473";"Emerald Group Publishing Ltd.";No;No;0,761;Q1;53;63;207;1325;261;204;1,22;21,03;46,85;5;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2026";"Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
39;14066;"Library Trends";journal;"15590682, 00242594";"Johns Hopkins University Press";No;No;0,746;Q1;57;44;129;1548;128;123;0,60;35,18;69,23;11;United States;Northern America;"Johns Hopkins University Press";"1980-2026";"Library and Information Sciences (Q1)";"Social Sciences"
40;15386;"Online Information Review";journal;"14684527, 14684535";"Emerald Publishing";No;No;0,742;Q1;85;58;181;2248;410;180;1,95;38,76;37,86;7;United Kingdom;Western Europe;"Emerald Publishing";"1980-1995, 1997, 1999-2026";"Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
41;144673;"Performance Measurement and Metrics";journal;"14678047";"Emerald Group Publishing Ltd.";No;No;0,741;Q1;27;18;71;304;65;64;0,61;16,89;50,00;1;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2026";"Library and Information Sciences (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
42;15681;"Journal of Digital Information";journal;"13687506";"British Computer Society";No;No;0,739;Q1;28;11;37;297;66;35;1,83;27,00;33,33;0;United Kingdom;Western Europe;"British Computer Society";"1996-2012";"E-learning (Q1); Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
43;18916;"Social Science Computer Review";journal;"15528286, 08944393";"SAGE Publications Inc.";No;No;0,739;Q1;104;37;111;1220;235;109;2,29;32,97;29,11;16;United States;Northern America;"SAGE Publications Inc.";"1983-2026";"Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
44;21100805777;"Information and Learning Science";journal;"23985356, 23985348";"Emerald Publishing";No;No;0,723;Q1;43;53;165;1234;117;149;0,67;23,28;54,67;7;United Kingdom;Western Europe;"Emerald Publishing";"2017-2026";"Education (Q1); Library and Information Sciences (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
45;19700201446;"New Review of Academic Librarianship";journal;"13614533, 17407834";"Taylor and Francis Ltd.";No;No;0,718;Q1;30;14;51;454;44;46;0,84;32,43;65,22;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2026";"E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
46;20870;"Telecommunications Policy";journal;"03085961";"Elsevier Ltd";No;No;0,711;-;101;77;182;3368;469;169;2,64;43,74;21,29;45;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2026";"Electrical and Electronic Engineering (Q1); Human Factors and Ergonomics (Q2); Information Systems (Q2)";"Computer Science; Engineering; Social Sciences"
47;12709;"Information Technology and Libraries";journal;"07309295, 21635226";"American Library Association";Yes;Yes;0,699;Q1;42;32;93;558;61;62;0,71;17,44;68,42;2;United States;Northern America;"American Library Association";"1968, 1971-1974, 1981, 1988-2025";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
48;22510;"Learned Publishing";journal;"09531513, 17414857";"Wiley-Blackwell";No;No;0,698;-;52;39;130;660;107;114;0,92;16,92;30,88;13;United States;Northern America;"Wiley-Blackwell";"1996-2026";"Communication (Q1)";"Social Sciences"
49;25547;"Interacting with Computers";journal;"18737951, 09535438";"Oxford University Press";No;No;0,693;-;100;56;145;2883;487;128;3,37;51,48;36,42;9;United Kingdom;Western Europe;"Oxford University Press";"1989-2026";"Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
50;15133;"Information Retrieval Journal";journal;"13864564, 15737659";"Springer Science and Business Media B.V.";No;No;0,689;Q1;0;0;0;0;0;0;0,00;0,00;0,00;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1999-2023";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
51;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";"Springer London";No;No;0,688;-;106;80;173;2139;518;159;3,29;26,74;28,64;6;United Kingdom;Western Europe;"Springer London";"1997-2026";"Hardware and Architecture (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences"
52;4700152796;"Journal of Interlibrary Loan, Document Delivery and Electronic Reserve";journal;"1072303X, 15403572";"Routledge";No;No;0,667;Q1;15;23;115;282;77;103;0,67;12,26;58,97;0;United States;Northern America;"Routledge";"1994, 1996-1997, 2000, 2002-2003, 2005-2021";"Library and Information Sciences (Q1)";"Social Sciences"
53;13992;"Library Collections, Acquisition and Technical Services";journal;"14649055, 18731821";"Taylor and Francis Ltd.";No;No;0,665;Q2;24;14;47;365;55;47;1,00;26,07;45,83;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-1997, 1999-2015, 2017";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
54;21100242609;"Insights: the UKSG Journal";journal;"20487754";"United Kingdom Serials Group";Yes;Yes;0,660;Q2;21;59;133;492;62;122;0,49;8,34;41,18;2;United Kingdom;Western Europe;"United Kingdom Serials Group";"2012-2026";"Library and Information Sciences (Q2)";"Social Sciences"
55;4700152829;"Journal of Library and Information Services in Distance Learning";journal;"15332918, 1533290X";"Routledge";No;No;0,639;Q2;19;23;43;253;25;36;0,58;11,00;66,67;0;United States;Northern America;"Routledge";"2004-2007, 2009-2025";"E-learning (Q1); Library and Information Sciences (Q2)";"Social Sciences"
56;14239;"College and Research Libraries News";journal;"21506698, 00990086";"Association of College and Research Libraries";No;No;0,621;Q2;30;96;239;328;89;207;0,47;3,42;72,73;1;United States;Northern America;"Association of College and Research Libraries";"1986-1988, 1990-2026";"Education (Q2); Library and Information Sciences (Q2)";"Social Sciences"
57;12085;"American Archivist";journal;"03609081";"Society of American Archivists";No;No;0,605;Q2;37;37;72;1630;57;60;0,76;44,05;52,05;8;United States;Northern America;"Society of American Archivists";"1938-2025";"Arts and Humanities (miscellaneous) (Q2); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
58;14721;"Medical Reference Services Quarterly";journal;"02763869, 15409597";"Routledge";No;No;0,575;Q2;31;37;101;407;70;100;0,62;11,00;84,93;6;United States;Northern America;"Routledge";"1982-2026";"Health Informatics (Q2); Library and Information Sciences (Q2)";"Medicine; Social Sciences"
59;30004;"Health Information and Libraries Journal";journal;"14711842, 14711834";"Wiley-Blackwell Publishing Ltd";No;No;0,572;Q2;57;44;160;918;160;144;1,15;20,86;76,14;11;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2025";"Health Informatics (Q2); Health Information Management (Q2); Library and Information Sciences (Q2)";"Health Professions; Medicine; Social Sciences"
60;98245;"Library Resources and Technical Services";journal;"00242527";"American Library Association";Yes;No;0,569;Q2;26;20;75;883;78;64;1,19;44,15;72,00;2;United States;Northern America;"American Library Association";"1978-1979, 1981-1984, 1988-2025";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
61;4700152802;"Journal of Business and Finance Librarianship";journal;"15470644, 08963568";"Routledge";No;No;0,559;Q2;23;17;114;320;44;91;0,42;18,82;66,67;2;United States;Northern America;"Routledge";"1990-1992, 1994, 1996-2026";"Management Information Systems (Q1); E-learning (Q2); Library and Information Sciences (Q2); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
62;144818;"Collection Building";journal;"01604953, 20545592";"Emerald Publishing";No;No;0,557;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"Emerald Publishing";"1978-2018";"Library and Information Sciences (Q2)";"Social Sciences"
63;19400158481;"Journal of Web Librarianship";journal;"19322909, 19322917";"Routledge";No;No;0,539;Q2;24;28;96;330;44;87;0,44;11,79;70,59;0;United States;Northern America;"Routledge";"2007-2026";"Computer Science Applications (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
64;4700152782;"College and Undergraduate Libraries";journal;"10691316, 15452530";"Routledge";No;No;0,536;Q2;26;35;99;479;58;95;0,43;13,69;55,77;2;United States;Northern America;"Routledge";"1994-2004, 2006-2026";"Education (Q2); E-learning (Q2); Library and Information Sciences (Q2)";"Social Sciences"
65;145510;"Libri";journal;"18658423, 00242667";"De Gruyter Saur";Yes;Yes;0,532;Q2;33;28;84;949;75;82;0,47;33,89;49,06;3;Germany;Western Europe;"De Gruyter Saur";"1950, 1953-1956, 1958-2026";"Library and Information Sciences (Q2)";"Social Sciences"
66;15511;"Program";journal;"00330337";"Emerald Group Publishing Ltd.";No;No;0,531;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1907, 1968-2017";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
67;4700152770;"Cataloging and Classification Quarterly";journal;"15444554, 01639374";"Routledge";No;No;0,529;Q2;31;38;136;1174;89;115;0,66;30,89;68,00;0;United States;Northern America;"Routledge";"1981-2026";"Library and Information Sciences (Q2)";"Social Sciences"
68;12690;"Information Research";journal;"13681613";"University of Boras";Yes;Yes;0,526;Q2;61;56;129;2109;142;115;0,96;37,66;56,73;0;Sweden;Western Europe;"University of Boras";"1996-2026";"Library and Information Sciences (Q2)";"Social Sciences"
69;144645;"Library Review";journal;"00242535";"Emerald Group Publishing Ltd.";No;No;0,510;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1927-2017";"Library and Information Sciences (Q2)";"Social Sciences"
70;130132;"Information Technology and People";journal;"09593845";"Emerald Group Publishing Ltd.";No;No;0,498;Q2;92;23;60;1075;134;59;1,69;46,74;48,00;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990, 1992, 1994-2026";"Computer Science Applications (Q2); Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
71;16610;"Serials Librarian";journal;"15411095, 0361526X";"Routledge";No;No;0,491;Q2;22;69;222;564;120;212;0,64;8,17;64,86;0;United States;Northern America;"Routledge";"1977-2026";"Library and Information Sciences (Q2)";"Social Sciences"
72;15394;"D-Lib Magazine";journal;"10829873";"Corporation for National Research Initiatives";Yes;No;0,487;Q2;60;44;175;541;136;136;0,69;12,30;45,00;6;United States;Northern America;"Corporation for National Research Initiatives";"1996-2017";"Library and Information Sciences (Q2)";"Social Sciences"
73;13412;"Lecture Notes in Control and Information Sciences";book series;"16107411, 01708643";"Springer Science and Business Media Deutschland GmbH";No;No;0,480;Q2;60;50;557;2814;415;499;0,66;56,28;12,61;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1982-1986, 1988, 1990-1991, 1993, 1996, 2005-2026";"Library and Information Sciences (Q2)";"Social Sciences"
74;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";"Taylor and Francis Ltd.";No;No;0,479;Q2;62;36;108;1822;150;97;1,03;50,61;36,49;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2026";"Business and International Management (Q1); Library and Information Sciences (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Social Sciences"
75;14076;"Libres";journal;"10586768";"Nanyang Technological University";Yes;Yes;0,476;Q2;16;6;27;197;16;26;0,60;32,83;54,55;0;Singapore;Asiatic Region;"Nanyang Technological University";"1996-2025";"Library and Information Sciences (Q2)";"Social Sciences"
76;144644;"Library Management";journal;"01435124";"Emerald Group Publishing Ltd.";No;No;0,469;Q2;43;58;161;1143;131;159;0,67;19,71;58,54;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1979-2025";"Library and Information Sciences (Q2)";"Social Sciences"
77;17900156721;"Journal of Electronic Resources Librarianship";journal;"1941126X, 19411278";"Routledge";No;No;0,467;Q2;18;39;71;444;47;65;0,55;11,38;69,39;0;United States;Northern America;"Routledge";"2008-2025";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
78;145290;"Bottom Line";journal;"0888045X";"Emerald Group Publishing Ltd.";No;No;0,466;Q2;33;45;89;307;33;85;0,40;6,82;40,91;2;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1988-2026";"Business, Management and Accounting (miscellaneous) (Q1); Library and Information Sciences (Q2)";"Business, Management and Accounting; Social Sciences"
79;130065;"Journal of Enterprise Information Management";journal;"17410398";"Emerald Publishing";No;No;0,460;Q2;100;40;128;1825;248;116;1,87;45,63;13,70;6;United Kingdom;Western Europe;"Emerald Publishing";"2004-2026";"Decision Sciences (miscellaneous) (Q2); Information Systems (Q2); Library and Information Sciences (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
80;25991;"Social Science Information";journal;"05390184, 14617412";"SAGE Publications Ltd";No;No;0,454;Q2;51;38;89;1555;108;88;0,85;40,92;31,11;7;United Kingdom;Western Europe;"SAGE Publications Ltd";"1962-2026";"Library and Information Sciences (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
81;19400158815;"Communications in Information Literacy";journal;"19335954";"Communications in Information Literacy";Yes;Yes;0,438;Q2;26;16;34;309;11;28;0,32;19,31;74,07;0;United States;Northern America;"Communications in Information Literacy";"2009-2025";"Education (Q2); E-learning (Q2); Library and Information Sciences (Q2)";"Social Sciences"
82;144955;"Education and Information Technologies";journal;"15737608, 13602357";"Springer";No;No;0,433;Q2;121;25;70;746;61;62;0,78;29,84;37,78;3;United States;Northern America;"Springer";"1996-2002, 2005-2026";"Education (Q2); E-learning (Q2); Library and Information Sciences (Q2)";"Social Sciences"
83;144983;"Archival Science";journal;"13890166, 15737500";"Springer Science and Business Media B.V.";No;No;0,428;Q2;48;22;61;930;34;60;0,44;42,27;64,71;10;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2001-2026";"History (Q1); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
84;4700152748;"Journal of Electronic Resources in Medical Libraries";journal;"15424065, 15424073";"Routledge";No;No;0,414;Q2;17;40;103;463;44;102;0,49;11,58;72,41;3;United States;Northern America;"Routledge";"2003-2026";"Health (social science) (Q2); Library and Information Sciences (Q2)";"Social Sciences"
85;2600147402;"Ethics and Information Technology";journal;"13881957, 15728439";"Springer Science and Business Media B.V.";No;No;0,388;Q2;87;27;84;1228;137;80;1,56;45,48;37,50;18;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1999-2026";"Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
