Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,129;Q1;203;51;117;2815;710;111;4,98;55,20;19,51;12;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
2;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,249;Q1;310;567;1386;16203;6590;1378;4,31;28,58;15,97;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
3;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";"Elsevier B.V.";No;No;2,083;Q1;107;67;139;2173;645;131;4,90;32,43;17,36;33;Netherlands;Western Europe;"Elsevier B.V.";"2007-2026";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
4;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;1,910;Q1;63;36;111;1158;190;91;1,41;32,17;69,49;12;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
5;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;1,630;Q1;75;75;199;2265;367;176;1,54;30,20;65,69;6;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
6;12124;"Annual Review of Information Science and Technology";book series;"00664200";"Information Today";No;No;1,613;Q1;64;12;38;2316;134;35;3,71;193,00;46,67;6;United States;Northern America;"Information Today";"1981-1982, 1987, 1996-2000, 2002-2011";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
7;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;1,572;Q1;74;43;101;1652;236;88;2,61;38,42;57,97;11;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
8;15933;"Portal";journal;"15307131, 15312542";"Johns Hopkins University Press";No;No;1,476;-;48;30;85;1183;118;71;1,28;39,43;61,22;4;United States;Northern America;"Johns Hopkins University Press";"2001-2026";"Development (Q1)";"Social Sciences"
9;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";"Taylor and Francis Ltd.";No;No;1,423;Q1;151;52;155;3080;616;136;3,22;59,23;23,39;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
10;16004;"Reference and User Services Quarterly";journal;"10949054";"American Library Association";No;No;1,400;Q1;41;42;119;1143;135;103;0,96;27,21;65,93;6;United States;Northern America;"American Library Association";"1997-2019, 2021, 2024-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
11;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,329;Q1;181;195;601;8831;2138;563;3,62;45,29;30,25;47;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
12;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;1,326;Q1;219;298;699;14374;3493;697;5,06;48,23;22,81;6;United States;Northern America;"American Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
13;24222;"Scientometrics";journal;"15882861, 01389130";"Springer Nature";No;No;1,205;Q1;167;224;552;6547;1461;542;2,48;29,23;27,36;80;Switzerland;Western Europe;"Springer Nature";"1978-2026";"Computer Science Applications (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
14;29745;"Information and Organization";journal;"14717727";"Elsevier Ltd";No;No;1,173;Q1;83;11;38;836;130;38;1,72;76,00;39,13;6;United Kingdom;Western Europe;"Elsevier Ltd";"1996-1997, 2001-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
15;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;1,162;Q1;157;56;159;2711;729;152;4,51;48,41;26,79;32;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2026";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
16;4700152804;"Internet Reference Services Quarterly";journal;"15404749, 10875301";"Routledge";No;No;1,155;Q1;24;15;46;201;60;43;0,72;13,40;72,00;0;United States;Northern America;"Routledge";"1996-2002, 2004-2018, 2020-2026";"E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
17;144671;"Reference Services Review";journal;"00907324";"Emerald Group Publishing Ltd.";No;No;1,041;Q1;46;44;134;1100;177;131;1,34;25,00;81,43;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1973-2026";"E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
18;12794;"Journal of Documentation";journal;"00220418";"Emerald Group Publishing Ltd.";No;No;1,006;Q1;80;58;168;2699;287;168;1,45;46,53;53,52;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
19;4700152789;"Collection Management";journal;"01462679, 15452549";"Routledge";No;No;0,999;Q1;24;18;104;215;121;86;1,50;11,94;85,71;1;United States;Northern America;"Routledge";"1976, 1978-1979, 1981-1999, 2001-2025";"Library and Information Sciences (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
20;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;0,987;Q1;149;106;227;4482;640;219;2,29;42,28;23,78;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
21;200147110;"Information Communication and Society";journal;"14684462, 1369118X";"Routledge";No;No;0,978;Q1;136;61;167;2781;349;154;1,67;45,59;51,00;1;United Kingdom;Western Europe;"Routledge";"2001, 2005-2026";"Communication (Q1); Library and Information Sciences (Q1)";"Social Sciences"
22;15916;"Journal of Health Communication";journal;"10810730, 10870415";"Taylor and Francis Ltd.";No;No;0,943;Q1;120;131;234;5289;478;203;1,77;40,37;56,27;68;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Communication (Q1); Health (social science) (Q1); Library and Information Sciences (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
23;12813;"Journal of Information Science";journal;"01655515, 17416485";"SAGE Publications Ltd";No;No;0,897;Q1;86;49;157;1867;423;156;2,55;38,10;34,95;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
24;22894;"Research Evaluation";journal;"09582029, 14715449";"Oxford University Press";No;No;0,893;Q1;70;42;103;1229;173;102;1,22;29,26;41,51;0;United Kingdom;Western Europe;"Oxford University Press";"1991-1996, 1998-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
25;23842;"Journal of Classification";journal;"01764268, 14321343";"Springer New York";No;No;0,884;Q1;51;23;54;522;78;47;1,11;22,70;25,58;0;United States;Northern America;"Springer New York";"1984-2026";"Library and Information Sciences (Q1); Mathematics (miscellaneous) (Q2); Psychology (miscellaneous) (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Psychology; Social Sciences"
26;144908;"Library Hi Tech";journal;"07378831";"Emerald Group Publishing Ltd.";No;No;0,884;Q1;59;54;151;1227;202;150;1,22;22,72;53,33;3;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
27;17857;"Journal of the Medical Library Association";journal;"15365050, 15589439";"Medical Library Association";Yes;Yes;0,877;Q1;82;56;174;1153;212;146;1,21;20,59;71,09;9;United States;Northern America;"Medical Library Association";"1999, 2001-2026";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
28;12689;"Information Processing and Management";journal;"18735371, 03064573";"Elsevier Ltd";No;No;0,849;Q1;149;66;230;2509;755;222;3,00;38,02;28,73;2;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Media Technology (Q1); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
