Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;145507;"Cybermetrics";journal;"11375019";"";Yes;No;6,201;Q1;16;2;1;34;6;1;6,00;17,00;50,00;0;Spain;Western Europe;"";"1997, 1999-2002, 2004-2013, 2015";"Library and Information Sciences (Q1)";"Social Sciences"
2;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;2,534;Q1;63;36;93;976;138;93;1,48;27,11;61,54;2;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
3;12124;"Annual Review of Information Science and Technology";book series;"00664200";"Information Today";No;No;2,332;Q1;64;8;24;1697;50;24;1,63;212,13;25,00;0;United States;Northern America;"Information Today";"1981-1982, 1987, 1996-2000, 2002-2011";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
4;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;2,041;Q1;203;22;69;1184;147;69;1,48;53,82;22,22;11;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
5;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;1,837;Q1;50;13;38;684;53;38;1,16;52,62;42,86;1;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2026";"Library and Information Sciences (Q1)";"Social Sciences"
6;98245;"Library Resources and Technical Services";journal;"00242527";"American Library Association";Yes;No;1,613;Q1;26;19;58;338;47;58;0,89;17,79;74,07;0;United States;Northern America;"American Library Association";"1978-1979, 1981-1984, 1988-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
7;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,498;Q1;181;139;340;1269;411;340;1,06;9,13;36,22;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
8;12794;"Journal of Documentation";journal;"00220418";"Emerald Group Publishing Ltd.";No;No;1,472;Q1;80;25;69;1083;117;69;1,79;43,32;27,78;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
9;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;1,109;Q1;74;20;50;925;54;50;1,00;46,25;63,64;0;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
10;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;1,067;Q1;75;50;137;1497;91;124;0,68;29,94;58,93;1;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
11;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,052;Q1;310;299;768;6036;941;768;1,13;20,19;12,56;10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
12;12689;"Information Processing and Management";journal;"18735371, 03064573";"Elsevier Ltd";No;No;1,036;Q1;149;43;150;1546;163;149;1,29;35,95;25,00;0;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
13;31428;"Proceedings of the ASIST Annual Meeting";journal;"15508390";"John Wiley and Sons Inc";No;No;1,023;Q1;50;69;119;350;96;119;0,63;5,07;37,08;0;United States;Northern America;"John Wiley and Sons Inc";"1979-1987, 1992, 1996-2014";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
14;14066;"Library Trends";journal;"15590682, 00242594";"Johns Hopkins University Press";No;No;1,001;Q1;57;40;108;1215;89;108;1,01;30,38;56,00;0;United States;Northern America;"Johns Hopkins University Press";"1980-2026";"Library and Information Sciences (Q1)";"Social Sciences"
15;15394;"D-Lib Magazine";journal;"10829873";"Corporation for National Research Initiatives";Yes;No;0,951;Q1;60;80;237;580;200;182;0,95;7,25;31,11;5;United States;Northern America;"Corporation for National Research Initiatives";"1996-2017";"Library and Information Sciences (Q1)";"Social Sciences"
16;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;0,931;Q1;219;152;484;4657;1104;482;2,10;30,64;20,90;13;United States;Northern America;"American Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
17;16004;"Reference and User Services Quarterly";journal;"10949054";"American Library Association";No;No;0,832;Q1;41;24;45;659;25;45;0,56;27,46;64,10;0;United States;Northern America;"American Library Association";"1997-2019, 2021, 2024-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
18;62702;"Proceedings of the ACM International Conference on Digital Libraries";conference and proceedings;"-";"";No;No;0,821;-;52;23;118;472;137;115;1,05;20,52;17,54;0;United States;Northern America;"";"";"Computer Science Applications; Information Systems; Library and Information Sciences; Software";"Computer Science; Social Sciences"
19;12709;"Information Technology and Libraries";journal;"07309295, 21635226";"American Library Association";Yes;Yes;0,810;Q1;42;20;51;329;29;50;0,74;16,45;54,17;0;United States;Northern America;"American Library Association";"1968, 1971-1974, 1981, 1988-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
20;145200;"International Journal on Digital Libraries";journal;"14325012, 14321300";"Springer Verlag";No;No;0,771;Q1;42;0;44;0;124;42;2,82;0,00;0,00;0;Germany;Western Europe;"Springer Verlag";"1997-1998, 2000, 2004-2010, 2012-2026";"Library and Information Sciences (Q1)";"Social Sciences"
