Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
21;24222;"Scientometrics";journal;"15882861, 01389130";"Springer Nature";No;No;0,650;Q1;167;93;242;1664;271;242;1,15;17,89;27,68;1;Switzerland;Western Europe;"Springer Nature";"1978-2026";"Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
22;15416;"Computers in Libraries";trade journal;"10417915";"Information Today";No;No;0,627;Q1;20;16;53;101;32;53;0,53;6,31;33,33;0;United States;Northern America;"Information Today";"1996-2026";"Computer Science (miscellaneous) (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
23;12813;"Journal of Information Science";journal;"01655515, 17416485";"SAGE Publications Ltd";No;No;0,614;Q1;86;50;133;1172;98;131;0,76;23,44;41,46;7;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
24;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;0,601;Q1;149;44;144;1776;218;138;1,43;40,36;14,56;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
25;15511;"Program";journal;"00330337";"Emerald Group Publishing Ltd.";No;No;0,564;Q1;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1907, 1968-2017";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
26;19700181431;"Journal of Decision Systems";journal;"21167052, 12460125";"Taylor and Francis Ltd.";No;No;0,510;-;42;14;51;275;11;45;0,10;19,64;32,14;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Management Information Systems (Q1); Software (Q2)";"Business, Management and Accounting; Computer Science"
27;13992;"Library Collections, Acquisition and Technical Services";journal;"14649055, 18731821";"Taylor and Francis Ltd.";No;No;0,499;Q1;24;24;13;301;4;13;0,36;12,54;41,38;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-1997, 1999-2015, 2017";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
28;16611;"Serials Review";journal;"00987913";"Taylor and Francis Ltd.";No;No;0,493;Q1;28;80;195;729;71;193;0,29;9,11;66,67;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973, 1975-2025";"Library and Information Sciences (Q1)";"Social Sciences"
29;13316;"Journal of Librarianship and Information Science";journal;"09610006, 17416477";"SAGE Publications Ltd";No;No;0,490;Q1;45;23;66;518;35;55;0,64;22,52;50,00;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"1969-2026";"Library and Information Sciences (Q1)";"Social Sciences"
30;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;0,482;Q1;157;42;138;1582;66;133;0,38;37,67;33,33;0;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2026";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q2)";"Social Sciences"
31;16610;"Serials Librarian";journal;"15411095, 0361526X";"Routledge";No;No;0,475;Q1;22;78;319;690;135;318;0,58;8,85;63,77;0;United States;Northern America;"Routledge";"1977-2026";"Library and Information Sciences (Q1)";"Social Sciences"
32;21100374356;"Aslib Journal of Information Management";journal;"20503806, 20503814";"Emerald Group Publishing Ltd.";No;No;0,465;Q1;58;40;110;855;45;110;0,44;21,38;32,08;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2026";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
33;17857;"Journal of the Medical Library Association";journal;"15365050, 15589439";"Medical Library Association";Yes;Yes;0,441;Q1;82;69;220;961;138;205;0,65;13,93;65,98;0;United States;Northern America;"Medical Library Association";"1999, 2001-2026";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
34;144908;"Library Hi Tech";journal;"07378831";"Emerald Group Publishing Ltd.";No;No;0,436;Q2;59;45;161;481;57;159;0,56;10,69;50,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2025";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
35;14013;"Library Journal";journal;"03630277";"Reed Business Information (Cahners)";No;No;0,420;Q2;24;44;85;0;18;10;0,21;0,00;0,00;0;United States;Northern America;"Reed Business Information (Cahners)";"1945-1947, 1972, 1978-1994, 1997-2016";"Library and Information Sciences (Q2)";"Social Sciences"
36;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";"Taylor and Francis Ltd.";No;No;0,416;Q2;151;25;91;1157;68;87;0,53;46,28;22,86;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2026";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
37;21100814051;"Information Discovery and Delivery";journal;"23986247";"Emerald Group Publishing Ltd.";No;No;0,415;Q2;30;83;65;240;26;65;0,35;2,89;50,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2026";"Library and Information Sciences (Q2)";"Social Sciences"
38;20870;"Telecommunications Policy";journal;"03085961";"Elsevier Ltd";No;No;0,408;-;101;44;181;926;107;167;0,54;21,05;16,36;0;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2026";"Electrical and Electronic Engineering (Q2); Human Factors and Ergonomics (Q2); Information Systems (Q2)";"Computer Science; Engineering; Social Sciences"
39;144671;"Reference Services Review";journal;"00907324";"Emerald Group Publishing Ltd.";No;No;0,406;Q2;46;35;89;567;34;89;0,22;16,20;68,18;1;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1973-2026";"E-learning (Q1); Library and Information Sciences (Q2)";"Social Sciences"
40;16568;"Science and Technology Libraries";journal;"0194262X, 15411109";"Routledge";No;No;0,383;Q2;27;26;56;844;24;53;0,45;32,46;40,00;0;United States;Northern America;"Routledge";"1980-2008, 2010-2026";"Library and Information Sciences (Q2)";"Social Sciences"
41;15442;"Information Systems Management";journal;"10580530";"Taylor and Francis Ltd.";No;No;0,381;Q2;77;52;169;273;49;165;0,24;5,25;13,64;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Computer Science Applications (Q2); Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
42;16800154717;"IFLA Journal";journal;"03400352, 17452651";"SAGE Publications Ltd";No;No;0,372;Q2;31;34;119;351;35;109;0,23;10,32;38,71;4;United Kingdom;Western Europe;"SAGE Publications Ltd";"1975-2026";"Library and Information Sciences (Q2)";"Social Sciences"
43;25547;"Interacting with Computers";journal;"18737951, 09535438";"Oxford University Press";No;No;0,354;-;100;35;79;1088;50;76;0,59;31,09;34,38;0;United Kingdom;Western Europe;"Oxford University Press";"1989-2026";"Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
44;23842;"Journal of Classification";journal;"01764268, 14321343";"Springer New York";No;No;0,348;Q2;51;12;45;339;26;45;0,46;28,25;18,18;1;United States;Northern America;"Springer New York";"1984-2026";"Library and Information Sciences (Q2); Psychology (miscellaneous) (Q2); Mathematics (miscellaneous) (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Psychology; Social Sciences"
45;130132;"Information Technology and People";journal;"09593845";"Emerald Group Publishing Ltd.";No;No;0,338;Q2;92;22;56;705;21;56;0,34;32,05;43,18;5;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990, 1992, 1994-2026";"Information Systems (Q2); Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
46;29745;"Information and Organization";journal;"14717727";"Elsevier Ltd";No;No;0,331;Q2;83;11;67;623;20;65;0,34;56,64;25,00;0;United Kingdom;Western Europe;"Elsevier Ltd";"1996-1997, 2001-2026";"Information Systems (Q2); Library and Information Sciences (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
47;145510;"Libri";journal;"18658423, 00242667";"De Gruyter Saur";Yes;Yes;0,328;Q2;33;25;73;680;23;72;0,20;27,20;37,93;2;Germany;Western Europe;"De Gruyter Saur";"1950, 1953-1956, 1958-2026";"Library and Information Sciences (Q2)";"Social Sciences"
48;4700152789;"Collection Management";journal;"01462679, 15452549";"Routledge";No;No;0,319;Q2;24;20;83;102;17;81;0,13;5,10;38,71;0;United States;Northern America;"Routledge";"1976, 1978-1979, 1981-1999, 2001-2025";"Library and Information Sciences (Q2); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
49;14115;"Canadian Journal of Information and Library Science";journal;"19207239, 1195096X";"Canadian Association for Information Science";No;No;0,317;Q2;23;12;23;131;7;23;0,44;10,92;66,67;0;Canada;Northern America;"Canadian Association for Information Science";"1993-2022";"Library and Information Sciences (Q2); Information Systems (Q3)";"Computer Science; Social Sciences"
50;15916;"Journal of Health Communication";journal;"10810730, 10870415";"Taylor and Francis Ltd.";No;No;0,317;Q2;120;24;99;733;29;67;0,17;30,54;48,57;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Health (social science) (Q2); Library and Information Sciences (Q2); Public Health, Environmental and Occupational Health (Q2); Communication (Q3)";"Medicine; Social Sciences"
51;4700152804;"Internet Reference Services Quarterly";journal;"15404749, 10875301";"Routledge";No;No;0,306;Q2;24;34;102;301;21;89;0,22;8,85;54,84;0;United States;Northern America;"Routledge";"1996-2002, 2004-2018, 2020-2026";"E-learning (Q1); Library and Information Sciences (Q2)";"Social Sciences"
52;12815;"Journal of Information Technology";journal;"14664437, 02683962";"Palgrave Macmillan Ltd.";No;No;0,301;Q2;102;50;121;1645;45;113;0,21;32,90;26,23;3;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987-2026";"Library and Information Sciences (Q2); Information Systems (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
53;18916;"Social Science Computer Review";journal;"15528286, 08944393";"SAGE Publications Inc.";No;No;0,290;Q2;104;42;145;811;44;137;0,33;19,31;19,30;6;United States;Northern America;"SAGE Publications Inc.";"1983-2026";"Law (Q2); Library and Information Sciences (Q2); Social Sciences (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
54;15420;"Electronic Library";journal;"02640473";"Emerald Group Publishing Ltd.";No;No;0,286;Q2;53;55;243;481;51;243;0,21;8,75;53,62;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2026";"Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
55;4700152770;"Cataloging and Classification Quarterly";journal;"15444554, 01639374";"Routledge";No;No;0,276;Q2;31;27;153;255;36;143;0,09;9,44;62,07;0;United States;Northern America;"Routledge";"1981-2026";"Library and Information Sciences (Q2)";"Social Sciences"
56;19700187503;"Australian Academic and Research Libraries";journal;"00048623, 1839471X";"Australian Library and Information Association";No;No;0,266;Q2;36;23;88;339;16;86;0,23;14,74;57,14;0;Australia;Pacific Region;"Australian Library and Information Association";"1955, 1988-2016";"Library and Information Sciences (Q2)";"Social Sciences"
57;144644;"Library Management";journal;"01435124";"Emerald Group Publishing Ltd.";No;No;0,265;Q2;43;41;132;610;21;132;0,13;14,88;51,92;1;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1979-2025";"Library and Information Sciences (Q2)";"Social Sciences"
58;4700152796;"Journal of Interlibrary Loan, Document Delivery and Electronic Reserve";journal;"1072303X, 15403572";"Routledge";No;No;0,263;Q2;15;0;23;0;10;23;1,25;0,00;0,00;0;United States;Northern America;"Routledge";"1994, 1996-1997, 2000, 2002-2003, 2005-2021";"Library and Information Sciences (Q2)";"Social Sciences"
59;21100801727;"Digital Library Perspectives";journal;"20595816, 20595824";"Emerald Publishing";No;No;0,257;Q2;30;12;46;76;10;46;0,32;6,33;37,50;0;United Kingdom;Western Europe;"Emerald Publishing";"2016-2026";"Library and Information Sciences (Q2); Education (Q3); Information Systems (Q3)";"Computer Science; Social Sciences"
60;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;0,252;Q2;215;32;97;917;57;97;0,55;28,66;23,73;0;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Computer Networks and Communications (Q2); Library and Information Sciences (Q2); Information Systems (Q3)";"Computer Science; Social Sciences"
61;144955;"Education and Information Technologies";journal;"15737608, 13602357";"Springer";No;No;0,247;Q2;121;22;60;651;16;60;0,27;29,59;37,21;0;United States;Northern America;"Springer";"1996-2002, 2005-2026";"E-learning (Q2); Library and Information Sciences (Q2); Education (Q3)";"Social Sciences"
62;4700152722;"Technical Services Quarterly";journal;"07317131";"Routledge";No;No;0,246;Q2;20;12;69;178;10;69;0,14;14,83;69,57;0;United States;Northern America;"Routledge";"1984-2026";"Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
63;147225;"Computers in the Schools";journal;"07380569, 15287033";"Routledge";No;No;0,238;Q2;41;51;74;786;13;68;0,17;15,41;40,54;0;United States;Northern America;"Routledge";"1984-1997, 1999, 2001-2026";"Computer Science (miscellaneous) (Q2); Library and Information Sciences (Q2); Education (Q3)";"Computer Science; Social Sciences"
64;4700152795;"Journal of Library Administration";journal;"01930826, 15403564";"Routledge";No;No;0,234;Q2;36;74;104;522;26;99;0,24;7,05;47,54;0;United States;Northern America;"Routledge";"1980-2026";"Library and Information Sciences (Q2); Public Administration (Q3)";"Social Sciences"
65;15386;"Online Information Review";journal;"14684527, 14684535";"Emerald Publishing";No;No;0,228;Q2;85;31;132;148;26;132;0,22;4,77;33,33;1;United Kingdom;Western Europe;"Emerald Publishing";"1980-1995, 1997, 1999-2026";"Library and Information Sciences (Q2); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science; Social Sciences"
66;22894;"Research Evaluation";journal;"09582029, 14715449";"Oxford University Press";No;No;0,226;Q2;70;22;44;357;19;44;0,40;16,23;35,56;9;United Kingdom;Western Europe;"Oxford University Press";"1991-1996, 1998-2026";"Library and Information Sciences (Q2); Education (Q3)";"Social Sciences"
67;19470;"Information Resources Management Journal";journal;"15337979, 10401628";"IGI Publishing";No;No;0,225;Q3;49;14;41;493;17;41;0,40;35,21;26,92;1;United States;Northern America;"IGI Publishing";"1988-2026";"Business and International Management (Q2); Library and Information Sciences (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
68;22510;"Learned Publishing";journal;"09531513, 17414857";"Wiley-Blackwell";No;No;0,223;-;52;21;71;170;10;71;0,15;8,10;21,74;2;United States;Northern America;"Wiley-Blackwell";"1996-2026";"Communication (Q3)";"Social Sciences"
69;16034;"Research Strategies";journal;"07343310";"Pergamon Press Ltd.";No;No;0,220;Q3;26;0;49;0;9;49;0,18;0,00;0,00;0;United Kingdom;Western Europe;"Pergamon Press Ltd.";"1997-1998, 2000-2001, 2003-2005";"Education (Q3); Library and Information Sciences (Q3)";"Social Sciences"
70;4700152758;"Reference Librarian";journal;"02763877, 15411117";"Routledge";No;No;0,219;Q3;27;48;153;465;23;153;0,09;9,69;68,52;0;United States;Northern America;"Routledge";"1982-2025";"Library and Information Sciences (Q3)";"Social Sciences"
71;13623;"Searcher: Magazine for Database Professionals";trade journal;"10704795";"Information Today";No;No;0,214;Q3;13;24;21;82;5;21;0,24;3,42;66,67;0;United States;Northern America;"Information Today";"1981-1982, 1998-2008";"Library and Information Sciences (Q3)";"Social Sciences"
72;21100805777;"Information and Learning Science";journal;"23985356, 23985348";"Emerald Publishing";No;No;0,213;Q3;43;26;101;387;13;101;0,17;14,88;37,50;0;United Kingdom;Western Europe;"Emerald Publishing";"2017-2026";"Computer Science Applications (Q3); Education (Q3); Library and Information Sciences (Q3)";"Computer Science; Social Sciences"
73;145290;"Bottom Line";journal;"0888045X";"Emerald Group Publishing Ltd.";No;No;0,210;Q3;33;30;51;180;12;51;0,22;6,00;56,52;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1988-2026";"Business, Management and Accounting (miscellaneous) (Q2); Library and Information Sciences (Q3)";"Business, Management and Accounting; Social Sciences"
74;15681;"Journal of Digital Information";journal;"13687506";"British Computer Society";No;No;0,210;Q3;28;5;12;199;11;12;1,00;39,80;25,00;0;United Kingdom;Western Europe;"British Computer Society";"1996-2012";"E-learning (Q2); Computer Science Applications (Q3); Information Systems (Q3); Library and Information Sciences (Q3)";"Computer Science; Social Sciences"
75;7600153106;"Malaysian Journal of Library and Information Science";journal;"13946234";"Faculty of Computer Science and Information Technology";No;No;0,202;Q3;31;15;45;377;12;45;0,28;25,13;33,33;0;Malaysia;Asiatic Region;"Faculty of Computer Science and Information Technology";"1996-2025";"Library and Information Sciences (Q3)";"Social Sciences"
76;12981;"Kybernetes";journal;"0368492X";"Emerald Publishing";No;No;0,193;-;65;129;315;1255;38;315;0,10;9,73;20,78;1;United Kingdom;Western Europe;"Emerald Publishing";"1972-2026";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Social Sciences (miscellaneous) (Q3); Software (Q3); Information Systems (Q4); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics; Social Sciences"
77;14239;"College and Research Libraries News";journal;"21506698, 00990086";"Association of College and Research Libraries";No;No;0,187;Q3;30;19;25;62;4;24;0,14;3,26;55,00;0;United States;Northern America;"Association of College and Research Libraries";"1986-1988, 1990-2026";"Education (Q3); Library and Information Sciences (Q3)";"Social Sciences"
78;12101;"Bulletin of the American Society for Information Science / ASIS";trade journal;"00954403";"American Society for Information Science &amp; Technology";No;No;0,185;Q3;13;33;59;27;8;59;0,17;0,82;40,54;3;United States;Northern America;"American Society for Information Science &amp; Technology";"1974, 1978-1979, 1982-1989, 1994-2000";"Library and Information Sciences (Q3)";"Social Sciences"
79;145663;"Language Resources and Evaluation";journal;"1574020X, 15740218";"Springer Science and Business Media B.V.";No;No;0,185;Q3;70;49;144;901;28;144;0,19;18,39;28,95;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1996-2002, 2005-2026";"Education (Q3); Library and Information Sciences (Q3); Linguistics and Language (Q3)";"Social Sciences"
80;23018;"Logos (The Netherlands)";journal;"18784712, 09579656";"Brill Academic Publishers";No;No;0,184;Q3;9;38;144;0;13;110;0,05;0,00;20,00;0;Netherlands;Western Europe;"Brill Academic Publishers";"1994, 1996-2025";"Literature and Literary Theory (Q1); Media Technology (Q2); Communication (Q3); Education (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
81;14721;"Medical Reference Services Quarterly";journal;"02763869, 15409597";"Routledge";No;No;0,183;Q3;31;31;116;220;13;80;0,16;7,10;81,25;0;United States;Northern America;"Routledge";"1982-2026";"Health Informatics (Q3); Library and Information Sciences (Q3)";"Medicine; Social Sciences"
82;12085;"American Archivist";journal;"03609081";"Society of American Archivists";No;No;0,182;Q3;37;13;89;678;14;80;0,21;52,15;33,33;2;United States;Northern America;"Society of American Archivists";"1938-2025";"Arts and Humanities (miscellaneous) (Q3); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
83;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";"Springer London";No;No;0,172;-;106;24;55;384;30;51;0,55;16,00;18,87;1;United Kingdom;Western Europe;"Springer London";"1997-2026";"Hardware and Architecture (Q3); Computer Science Applications (Q4); Management Science and Operations Research (Q4)";"Computer Science; Decision Sciences"
84;21100801725;"VINE Journal of Information and Knowledge Management Systems";journal;"20595905, 20595891";"Emerald Publishing";No;No;0,168;Q3;48;28;118;190;15;118;0,07;6,79;44,83;0;United Kingdom;Western Europe;"Emerald Publishing";"2016-2026";"Computer Networks and Communications (Q3); Library and Information Sciences (Q3); Management of Technology and Innovation (Q3); Computer Science Applications (Q4); Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
85;144645;"Library Review";journal;"00242535";"Emerald Group Publishing Ltd.";No;No;0,165;Q3;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1927-2017";"Library and Information Sciences (Q3)";"Social Sciences"
86;144818;"Collection Building";journal;"01604953, 20545592";"Emerald Publishing";No;No;0,163;Q3;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"Emerald Publishing";"1978-2018";"Library and Information Sciences (Q3)";"Social Sciences"
