Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,507;Q1;203;71;180;5182;1035;171;5,50;72,99;23,76;6;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
2;29745;"Information and Organization";journal;"14717727";"Elsevier Ltd";No;No;3,298;Q1;83;15;49;1307;376;48;7,52;87,13;41,46;4;United Kingdom;Western Europe;"Elsevier Ltd";"1996-1997, 2001-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
3;200147110;"Information Communication and Society";journal;"14684462, 1369118X";"Routledge";No;No;2,806;Q1;136;128;339;6655;2501;326;5,57;51,99;54,18;0;United Kingdom;Western Europe;"Routledge";"2001, 2005-2026";"Communication (Q1); Library and Information Sciences (Q1)";"Social Sciences"
4;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;2,770;Q1;215;222;378;19734;5828;369;16,34;88,89;34,61;59;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
5;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;2,565;Q1;165;426;859;18305;5871;568;5,80;42,97;32,90;121;United Kingdom;Western Europe;"Nature Research";"2014-2026";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
6;21100933954;"Big Data and Society";journal;"20539517";"SAGE Publications Ltd";Yes;No;2,244;Q1;89;83;135;4575;971;111;5,66;55,12;45,00;43;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2026";"Communication (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
7;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;2,121;Q1;157;74;205;5768;1957;193;8,49;77,95;31,84;42;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2026";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
8;12815;"Journal of Information Technology";journal;"14664437, 02683962";"Palgrave Macmillan Ltd.";No;No;1,939;Q1;102;22;69;1761;446;58;6,15;80,05;30,77;6;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
9;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;1,886;Q1;63;60;169;2193;427;151;2,55;36,55;64,54;2;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
10;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";"Elsevier B.V.";No;No;1,605;Q1;107;80;275;3840;1636;243;5,47;48,00;30,26;9;Netherlands;Western Europe;"Elsevier B.V.";"2007-2026";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
11;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";"Taylor and Francis Ltd.";No;No;1,426;Q1;151;44;112;3513;606;102;4,55;79,84;23,77;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2026";"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
12;19600157322;"Journal of Cheminformatics";journal;"17582946";"BioMed Central Ltd";Yes;No;1,350;Q1;101;73;208;4327;1300;201;5,35;59,27;22,01;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2026";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Social Sciences"
13;18916;"Social Science Computer Review";journal;"15528286, 08944393";"SAGE Publications Inc.";No;No;1,300;Q1;104;49;137;2359;595;136;4,10;48,14;36,67;18;United States;Northern America;"SAGE Publications Inc.";"1983-2026";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
14;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;1,294;Q1;149;114;342;5958;1703;336;4,24;52,26;28,79;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
15;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;1,240;Q1;219;603;1000;34387;4874;988;4,63;57,03;27,38;17;United States;Northern America;"American Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
16;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;1,225;Q1;74;37;104;2143;314;98;2,70;57,92;55,17;4;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
17;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,218;Q1;310;485;1436;17455;5110;1436;3,44;35,99;17,95;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
18;17857;"Journal of the Medical Library Association";journal;"15365050, 15589439";"Medical Library Association";Yes;Yes;1,102;Q1;82;87;232;1673;576;193;2,65;19,23;69,41;6;United States;Northern America;"Medical Library Association";"1999, 2001-2026";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
19;21100258853;"F1000Research";journal;"20461402";"F1000 Research Ltd";Yes;No;1,099;-;129;679;2166;30498;7464;2103;3,10;44,92;38,10;61;United Kingdom;Western Europe;"F1000 Research Ltd";"2012-2026";"Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
