Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,476;Q1;203;53;152;3583;1047;143;5,55;67,60;26,92;13;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
2;200147110;"Information Communication and Society";journal;"14684462, 1369118X";"Routledge";No;No;3,211;Q1;136;110;292;5387;1892;275;5,67;48,97;46,40;0;United Kingdom;Western Europe;"Routledge";"2001, 2005-2026";"Communication (Q1); Library and Information Sciences (Q1)";"Social Sciences"
3;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;3,007;Q1;165;294;387;9563;2792;373;6,59;32,53;35,21;75;United Kingdom;Western Europe;"Nature Research";"2014-2026";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
4;12815;"Journal of Information Technology";journal;"14664437, 02683962";"Palgrave Macmillan Ltd.";No;No;2,115;Q1;102;21;82;1590;722;69;5,29;75,71;16,36;4;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
5;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";"Taylor and Francis Ltd.";No;No;2,036;Q1;151;38;107;3378;743;102;5,73;88,89;32,26;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
6;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";"Elsevier B.V.";No;No;1,952;Q1;107;90;291;4407;1058;244;3,49;48,97;30,06;20;Netherlands;Western Europe;"Elsevier B.V.";"2007-2026";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
7;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;1,711;Q1;215;118;286;9273;2658;280;7,33;78,58;31,68;19;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
8;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;1,674;Q1;63;55;169;2398;350;154;1,88;43,60;62,83;8;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
9;22894;"Research Evaluation";journal;"09582029, 14715449";"Oxford University Press";No;No;1,589;Q1;70;33;111;1778;382;106;3,04;53,88;45,31;18;United Kingdom;Western Europe;"Oxford University Press";"1991-1996, 1998-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
10;19400158815;"Communications in Information Literacy";journal;"19335954";"Communications in Information Literacy";Yes;Yes;1,521;Q1;26;14;57;332;99;53;1,33;23,71;87,10;1;United States;Northern America;"Communications in Information Literacy";"2009-2025";"Education (Q1); E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
11;19600157322;"Journal of Cheminformatics";journal;"17582946";"BioMed Central Ltd";Yes;No;1,499;Q1;101;66;216;3269;1015;215;4,23;49,53;22,91;4;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2026";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Social Sciences"
12;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,473;Q1;310;494;1373;17487;5382;1373;3,84;35,40;20,02;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
13;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;1,446;Q1;219;232;749;12962;3278;746;4,00;55,87;27,59;7;United States;Northern America;"American Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
14;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,443;Q1;181;127;639;5521;2520;614;3,58;43,47;34,26;18;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
15;18916;"Social Science Computer Review";journal;"15528286, 08944393";"SAGE Publications Inc.";No;No;1,421;Q1;104;48;135;2217;579;135;3,89;46,19;29,92;18;United States;Northern America;"SAGE Publications Inc.";"1983-2026";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
16;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;1,408;Q1;157;73;181;5047;1405;169;6,72;69,14;29,22;35;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2026";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
17;15933;"Portal";journal;"15307131, 15312542";"Johns Hopkins University Press";No;No;1,366;-;48;44;138;1407;210;125;1,41;31,98;73,91;1;United States;Northern America;"Johns Hopkins University Press";"2001-2026";"Development (Q1)";"Social Sciences"
18;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;1,292;Q1;75;108;267;3830;589;257;1,91;35,46;60,19;8;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
19;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;1,291;Q1;149;111;353;5421;1415;351;4,06;48,84;27,20;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
20;23842;"Journal of Classification";journal;"01764268, 14321343";"Springer New York";No;No;1,275;Q1;51;26;70;893;117;64;1,57;34,35;28,89;0;United States;Northern America;"Springer New York";"1984-2026";"Library and Information Sciences (Q1); Mathematics (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Psychology; Social Sciences"
21;145507;"Cybermetrics";journal;"11375019";"";Yes;No;1,273;Q1;16;0;1;0;1;1;0,00;0,00;0,00;0;Spain;Western Europe;"";"1997, 1999-2002, 2004-2013, 2015";"Library and Information Sciences (Q1)";"Social Sciences"
22;21100258853;"F1000Research";journal;"20461402";"F1000 Research Ltd";Yes;No;1,235;-;129;792;1676;38623;5109;1594;3,26;48,77;37,82;59;United Kingdom;Western Europe;"F1000 Research Ltd";"2012-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
23;24222;"Scientometrics";journal;"15882861, 01389130";"Springer Nature";No;No;1,113;Q1;167;389;1116;16391;3394;1022;3,03;42,14;35,53;77;Switzerland;Western Europe;"Springer Nature";"1978-2026";"Computer Science Applications (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
24;29745;"Information and Organization";journal;"14717727";"Elsevier Ltd";No;No;1,105;Q1;83;17;37;1220;162;37;4,42;71,76;34,21;7;United Kingdom;Western Europe;"Elsevier Ltd";"1996-1997, 2001-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
25;22510;"Learned Publishing";journal;"09531513, 17414857";"Wiley-Blackwell";No;No;1,078;-;52;62;142;1077;285;92;2,09;17,37;34,69;19;United States;Northern America;"Wiley-Blackwell";"1996-2026";"Communication (Q1)";"Social Sciences"
26;144671;"Reference Services Review";journal;"00907324";"Emerald Group Publishing Ltd.";No;No;1,069;Q1;46;46;125;1341;155;116;1,12;29,15;74,67;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1973-2026";"E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
27;12689;"Information Processing and Management";journal;"18735371, 03064573";"Elsevier Ltd";No;No;1,043;Q1;149;79;220;4800;1225;215;5,57;60,76;30,58;8;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
28;15916;"Journal of Health Communication";journal;"10810730, 10870415";"Taylor and Francis Ltd.";No;No;1,007;Q1;120;108;470;5277;1122;462;1,99;48,86;60,37;38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Communication (Q1); Health (social science) (Q1); Library and Information Sciences (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
29;130132;"Information Technology and People";journal;"09593845";"Emerald Group Publishing Ltd.";No;No;0,830;Q1;92;52;116;4512;359;116;1,88;86,77;39,72;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990, 1992, 1994-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
30;17857;"Journal of the Medical Library Association";journal;"15365050, 15589439";"Medical Library Association";Yes;Yes;0,807;Q1;82;87;199;1594;305;143;1,54;18,32;68,28;12;United States;Northern America;"Medical Library Association";"1999, 2001-2026";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
31;4700152795;"Journal of Library Administration";journal;"01930826, 15403564";"Routledge";No;No;0,800;Q1;36;56;186;1173;197;186;1,05;20,95;64,04;4;United States;Northern America;"Routledge";"1980-2026";"Library and Information Sciences (Q1); Public Administration (Q1)";"Social Sciences"
32;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;0,790;Q1;74;32;126;1602;202;113;1,42;50,06;66,67;2;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
33;12794;"Journal of Documentation";journal;"00220418";"Emerald Group Publishing Ltd.";No;No;0,789;Q1;80;71;196;3934;356;196;1,69;55,41;50,60;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
34;20870;"Telecommunications Policy";journal;"03085961";"Elsevier Ltd";No;No;0,753;-;101;70;227;3643;641;214;2,52;52,04;26,87;43;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2026";"Electrical and Electronic Engineering (Q1); Human Factors and Ergonomics (Q1); Information Systems (Q1)";"Computer Science; Engineering; Social Sciences"
35;144908;"Library Hi Tech";journal;"07378831";"Emerald Group Publishing Ltd.";No;No;0,746;Q1;59;48;135;2270;221;132;1,49;47,29;43,40;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
36;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;0,717;Q1;50;22;86;875;111;77;1,39;39,77;77,27;4;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2026";"Library and Information Sciences (Q1)";"Social Sciences"
37;4700152804;"Internet Reference Services Quarterly";journal;"15404749, 10875301";"Routledge";No;No;0,707;Q1;24;5;34;265;31;34;0,65;53,00;57,14;1;United States;Northern America;"Routledge";"1996-2002, 2004-2018, 2020-2026";"E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
38;12709;"Information Technology and Libraries";journal;"07309295, 21635226";"American Library Association";Yes;Yes;0,699;Q1;42;40;67;911;84;48;0,88;22,78;42,86;1;United States;Northern America;"American Library Association";"1968, 1971-1974, 1981, 1988-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
39;21100329302;"Journal of Information Literacy";journal;"17505968";"CILIP Information Literacy Group";Yes;Yes;0,696;Q1;19;24;67;556;69;49;0,98;23,17;74,29;0;United Kingdom;Western Europe;"CILIP Information Literacy Group";"2010, 2014-2025";"E-learning (Q1); Library and Information Sciences (Q1); Education (Q2)";"Social Sciences"
40;130065;"Journal of Enterprise Information Management";journal;"17410398";"Emerald Publishing";No;No;0,690;Q1;100;48;130;3335;518;128;3,33;69,48;31,30;0;United Kingdom;Western Europe;"Emerald Publishing";"2004-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
