Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
28;17857;"Journal of the Medical Library Association";journal;"15365050, 15589439";"Medical Library Association";Yes;Yes;0,894;Q1;82;81;221;1746;353;175;1,58;21,56;71,91;13;United States;Northern America;"Medical Library Association";"1999, 2001-2026";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
29;12794;"Journal of Documentation";journal;"00220418";"Emerald Group Publishing Ltd.";No;No;0,890;Q1;80;79;204;4766;382;204;1,85;60,33;45,25;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1945-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
30;20870;"Telecommunications Policy";journal;"03085961";"Elsevier Ltd";No;No;0,888;-;101;76;225;4070;756;213;3,02;53,55;28,89;30;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2026";"Electrical and Electronic Engineering (Q1); Human Factors and Ergonomics (Q1); Information Systems (Q1)";"Computer Science; Engineering; Social Sciences"
31;23842;"Journal of Classification";journal;"01764268, 14321343";"Springer New York";No;No;0,879;Q1;51;35;75;1054;118;67;1,33;30,11;32,89;0;United States;Northern America;"Springer New York";"1984-2026";"Library and Information Sciences (Q1); Mathematics (miscellaneous) (Q1); Psychology (miscellaneous) (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Psychology; Social Sciences"
32;21100329302;"Journal of Information Literacy";journal;"17505968";"CILIP Information Literacy Group";Yes;Yes;0,844;Q1;19;27;66;969;104;47;1,81;35,89;72,09;0;United Kingdom;Western Europe;"CILIP Information Literacy Group";"2010, 2014-2025";"Education (Q1); E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
33;144671;"Reference Services Review";journal;"00907324";"Emerald Group Publishing Ltd.";No;No;0,814;Q1;46;38;131;998;146;117;0,98;26,26;85,98;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1973-2026";"Library and Information Sciences (Q1); E-learning (Q2)";"Social Sciences"
34;4700152758;"Reference Librarian";journal;"02763877, 15411117";"Routledge";No;No;0,804;Q1;27;24;76;645;72;72;1,06;26,88;64,10;0;United States;Northern America;"Routledge";"1982-2025";"Library and Information Sciences (Q1)";"Social Sciences"
35;130065;"Journal of Enterprise Information Management";journal;"17410398";"Emerald Publishing";No;No;0,797;Q1;100;50;137;4142;643;133;3,87;82,84;24,82;0;United Kingdom;Western Europe;"Emerald Publishing";"2004-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
36;2600147402;"Ethics and Information Technology";journal;"13881957, 15728439";"Springer Science and Business Media B.V.";No;No;0,783;Q1;87;26;73;1455;231;69;2,50;55,96;46,81;11;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1999-2026";"Library and Information Sciences (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
37;144955;"Education and Information Technologies";journal;"15737608, 13602357";"Springer";No;No;0,782;Q1;121;188;425;9607;1231;406;3,14;51,10;36,70;24;United States;Northern America;"Springer";"1996-2002, 2005-2026";"Education (Q1); Library and Information Sciences (Q1); E-learning (Q2)";"Social Sciences"
38;4700152789;"Collection Management";journal;"01462679, 15452549";"Routledge";No;No;0,775;Q1;24;31;68;598;50;55;0,77;19,29;64,81;5;United States;Northern America;"Routledge";"1976, 1978-1979, 1981-1999, 2001-2025";"Library and Information Sciences (Q1); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
39;12709;"Information Technology and Libraries";journal;"07309295, 21635226";"American Library Association";Yes;Yes;0,771;Q1;42;39;80;789;65;55;0,66;20,23;49,18;3;United States;Northern America;"American Library Association";"1968, 1971-1974, 1981, 1988-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
40;21100374356;"Aslib Journal of Information Management";journal;"20503806, 20503814";"Emerald Group Publishing Ltd.";No;No;0,753;Q1;58;46;124;2773;318;122;2,71;60,28;40,40;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
41;14060;"Library Quarterly";journal;"00242519, 1549652X";"University of Chicago Press";No;No;0,727;Q1;50;20;81;843;151;72;1,83;42,15;70,27;0;United States;Northern America;"University of Chicago Press";"1946-1947, 1951, 1958, 1979, 1981, 1988-2026";"Library and Information Sciences (Q1)";"Social Sciences"
42;13316;"Journal of Librarianship and Information Science";journal;"09610006, 17416477";"SAGE Publications Ltd";No;No;0,711;Q1;45;88;101;4449;185;101;1,77;50,56;55,08;10;United Kingdom;Western Europe;"SAGE Publications Ltd";"1969-2026";"Library and Information Sciences (Q1)";"Social Sciences"
43;130132;"Information Technology and People";journal;"09593845";"Emerald Group Publishing Ltd.";No;No;0,710;Q1;92;72;132;6259;467;132;3,25;86,93;34,93;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990, 1992, 1994-2026";"Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
44;98245;"Library Resources and Technical Services";journal;"00242527";"American Library Association";Yes;No;0,706;Q1;26;19;67;555;38;55;0,40;29,21;51,52;0;United States;Northern America;"American Library Association";"1978-1979, 1981-1984, 1988-2025";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
45;4700152795;"Journal of Library Administration";journal;"01930826, 15403564";"Routledge";No;No;0,701;Q1;36;57;191;1321;186;191;0,86;23,18;63,00;1;United States;Northern America;"Routledge";"1980-2026";"Library and Information Sciences (Q1); Public Administration (Q2)";"Social Sciences"
46;4700152782;"College and Undergraduate Libraries";journal;"10691316, 15452530";"Routledge";No;No;0,696;Q1;26;19;107;385;105;103;0,99;20,26;74,29;1;United States;Northern America;"Routledge";"1994-2004, 2006-2026";"Library and Information Sciences (Q1); Education (Q2); E-learning (Q2)";"Social Sciences"
47;19400158481;"Journal of Web Librarianship";journal;"19322909, 19322917";"Routledge";No;No;0,694;Q1;24;15;53;448;42;40;0,80;29,87;70,83;1;United States;Northern America;"Routledge";"2007-2026";"Library and Information Sciences (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
48;16004;"Reference and User Services Quarterly";journal;"10949054";"American Library Association";No;No;0,694;Q1;41;31;129;666;105;114;0,84;21,48;81,03;0;United States;Northern America;"American Library Association";"1997-2019, 2021, 2024-2025";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
49;12813;"Journal of Information Science";journal;"01655515, 17416485";"SAGE Publications Ltd";No;No;0,669;Q1;86;52;164;2531;582;162;3,54;48,67;26,57;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2026";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
50;15386;"Online Information Review";journal;"14684527, 14684535";"Emerald Publishing";No;No;0,668;Q1;85;75;197;4679;556;196;2,39;62,39;47,73;0;United Kingdom;Western Europe;"Emerald Publishing";"1980-1995, 1997, 1999-2026";"Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
51;15442;"Information Systems Management";journal;"10580530";"Taylor and Francis Ltd.";No;No;0,651;Q1;77;26;83;1593;228;68;1,98;61,27;21,82;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
52;16800154717;"IFLA Journal";journal;"03400352, 17452651";"SAGE Publications Ltd";No;No;0,649;Q1;31;29;84;1148;121;74;1,46;39,59;60,42;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"1975-2026";"Library and Information Sciences (Q1)";"Social Sciences"
53;19700201446;"New Review of Academic Librarianship";journal;"13614533, 17407834";"Taylor and Francis Ltd.";No;No;0,628;Q1;30;23;94;888;98;87;0,89;38,61;78,79;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2026";"Library and Information Sciences (Q1); E-learning (Q2)";"Social Sciences"
54;18735;"Accountability in Research";journal;"15455815, 08989621";"Taylor and Francis Ltd.";No;No;0,607;Q1;43;33;90;1222;115;65;1,19;37,03;56,25;6;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2026";"Library and Information Sciences (Q1); Education (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
55;4700152804;"Internet Reference Services Quarterly";journal;"15404749, 10875301";"Routledge";No;No;0,589;Q1;24;0;28;0;19;28;0,63;0,00;0,00;0;United States;Northern America;"Routledge";"1996-2002, 2004-2018, 2020-2026";"Library and Information Sciences (Q1); E-learning (Q2)";"Social Sciences"
56;144644;"Library Management";journal;"01435124";"Emerald Group Publishing Ltd.";No;No;0,581;Q1;43;50;133;1600;128;131;0,99;32,00;55,88;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1979-2025";"Library and Information Sciences (Q1)";"Social Sciences"
57;4700152829;"Journal of Library and Information Services in Distance Learning";journal;"15332918, 1533290X";"Routledge";No;No;0,576;Q1;19;28;82;519;68;74;0,85;18,54;80,39;0;United States;Northern America;"Routledge";"2004-2007, 2009-2025";"Library and Information Sciences (Q1); E-learning (Q2)";"Social Sciences"
58;21100888812;"Journal of Data and Information Science";journal;"2096157X, 2543683X";"";Yes;Yes;0,565;Q1;23;22;68;596;165;65;3,42;27,09;28,07;1;Poland;Eastern Europe;"";"2016-2026";"Library and Information Sciences (Q1); Information Systems and Management (Q2); Public Administration (Q2)";"Decision Sciences; Social Sciences"
59;145200;"International Journal on Digital Libraries";journal;"14325012, 14321300";"Springer Verlag";No;No;0,559;Q1;42;29;76;1365;214;69;1,92;47,07;24,14;6;Germany;Western Europe;"Springer Verlag";"1997-1998, 2000, 2004-2010, 2012-2026";"Library and Information Sciences (Q1)";"Social Sciences"
60;6400153106;"Information Development";journal;"17416469, 02666669";"SAGE Publications Ltd";No;No;0,546;Q1;48;70;236;3313;456;211;1,41;47,33;34,07;12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1985-2026";"Library and Information Sciences (Q1)";"Social Sciences"
61;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";"Springer London";No;No;0,544;-;106;73;245;2648;671;226;2,81;36,27;34,25;3;United Kingdom;Western Europe;"Springer London";"1997-2026";"Computer Science Applications (Q2); Hardware and Architecture (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences"
62;144979;"Records Management Journal";journal;"09565698";"Emerald Group Publishing Ltd.";No;No;0,527;Q1;30;21;57;732;104;56;0,88;34,86;50,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1989-1991, 1994-2026";"Library and Information Sciences (Q1); Management Information Systems (Q2)";"Business, Management and Accounting; Social Sciences"
63;5400152654;"Journal of Access Services";journal;"15367967, 15367975";"Routledge";No;No;0,523;Q1;15;13;63;239;38;61;0,29;18,38;70,59;0;United States;Northern America;"Routledge";"2002-2026";"Library and Information Sciences (Q1)";"Social Sciences"
64;30004;"Health Information and Libraries Journal";journal;"14711842, 14711834";"Wiley-Blackwell Publishing Ltd";No;No;0,521;Q2;57;32;109;1164;148;90;1,40;36,38;66,67;8;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2025";"Health Informatics (Q2); Health Information Management (Q2); Library and Information Sciences (Q2)";"Health Professions; Medicine; Social Sciences"
65;21100242609;"Insights: the UKSG Journal";journal;"20487754";"United Kingdom Serials Group";Yes;Yes;0,519;Q2;21;32;125;888;75;103;0,69;27,75;53,52;9;United Kingdom;Western Europe;"United Kingdom Serials Group";"2012-2026";"Library and Information Sciences (Q2)";"Social Sciences"
66;14721;"Medical Reference Services Quarterly";journal;"02763869, 15409597";"Routledge";No;No;0,500;Q2;31;39;142;461;191;141;1,48;11,82;76,92;3;United States;Northern America;"Routledge";"1982-2026";"Health Informatics (Q2); Library and Information Sciences (Q2)";"Medicine; Social Sciences"
67;11500153514;"Revista Espanola de Documentacion Cientifica";journal;"02100614, 19884621";"CSIC Consejo Superior de Investigaciones Cientificas";Yes;Yes;0,497;Q2;24;29;98;1209;134;98;1,37;41,69;37,66;4;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1984, 2008-2025";"Library and Information Sciences (Q2)";"Social Sciences"
68;14066;"Library Trends";journal;"15590682, 00242594";"Johns Hopkins University Press";No;No;0,493;Q2;57;42;110;1563;99;101;0,74;37,21;66,00;6;United States;Northern America;"Johns Hopkins University Press";"1980-2026";"Library and Information Sciences (Q2)";"Social Sciences"
69;21100895684;"Global Knowledge, Memory and Communication";journal;"25149350, 25149342";"Emerald Group Publishing Ltd.";No;No;0,491;Q2;46;40;119;1842;229;119;0,94;46,05;59,30;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2026";"Library and Information Sciences (Q2)";"Social Sciences"
70;6200180164;"Profesional de la Informacion (discontinued)";journal;"16992407, 13866710";"El Profesional de la Informacion";No;No;0,480;Q2;56;128;331;6422;577;331;1,74;50,17;46,43;26;Spain;Western Europe;"El Profesional de la Informacion";"2006-2025";"Cultural Studies (Q1); Communication (Q2); Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
71;21100805777;"Information and Learning Science";journal;"23985356, 23985348";"Emerald Publishing";No;No;0,479;Q2;43;45;168;2496;169;160;0,87;55,47;50,49;0;United Kingdom;Western Europe;"Emerald Publishing";"2017-2026";"Computer Science Applications (Q2); Education (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
72;19700170495;"LIBER Quarterly";journal;"14355205";"";Yes;Yes;0,475;Q2;23;23;67;711;63;60;0,93;30,91;59,15;5;Netherlands;Western Europe;"";"1999-2026";"Library and Information Sciences (Q2)";"Social Sciences"
73;144983;"Archival Science";journal;"13890166, 15737500";"Springer Science and Business Media B.V.";No;No;0,472;Q2;48;20;56;1124;102;54;1,24;56,20;66,67;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2001-2026";"History (Q1); Library and Information Sciences (Q2)";"Arts and Humanities; Social Sciences"
74;21100788884;"International Journal of Multimedia Information Retrieval";journal;"21926611, 2192662X";"Springer London";No;No;0,468;Q2;37;21;68;1012;195;62;3,66;48,19;28,30;0;United Kingdom;Western Europe;"Springer London";"2012-2026";"Media Technology (Q1); Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Engineering; Social Sciences"
75;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";"Taylor and Francis Ltd.";No;No;0,462;Q2;62;46;148;3155;337;148;2,20;68,59;41,48;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2026";"Business and International Management (Q2); Library and Information Sciences (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
76;15420;"Electronic Library";journal;"02640473";"Emerald Group Publishing Ltd.";No;No;0,457;Q2;53;62;207;2525;290;206;1,34;40,73;40,79;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2026";"Computer Science Applications (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
77;12690;"Information Research";journal;"13681613";"University of Boras";Yes;Yes;0,454;Q2;61;41;125;2270;140;113;0,82;55,37;47,83;0;Sweden;Western Europe;"University of Boras";"1996-2026";"Library and Information Sciences (Q2)";"Social Sciences"
78;16610;"Serials Librarian";journal;"15411095, 0361526X";"Routledge";No;No;0,454;Q2;22;62;186;245;72;174;0,42;3,95;63,64;0;United States;Northern America;"Routledge";"1977-2026";"Library and Information Sciences (Q2)";"Social Sciences"
79;16611;"Serials Review";journal;"00987913";"Taylor and Francis Ltd.";No;No;0,450;Q2;28;43;142;549;68;129;0,42;12,77;71,67;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973, 1975-2025";"Library and Information Sciences (Q2)";"Social Sciences"
80;145663;"Language Resources and Evaluation";journal;"1574020X, 15740218";"Springer Science and Business Media B.V.";No;No;0,441;Q2;70;33;110;1725;229;105;1,96;52,27;32,08;1;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1996-2002, 2005-2026";"Linguistics and Language (Q1); Education (Q2); Library and Information Sciences (Q2)";"Social Sciences"
81;5600155499;"Canadian Journal of Program Evaluation";journal;"08341516";"Canadian Journal of Program Evaluation";No;No;0,440;Q2;24;38;89;1111;43;71;0,48;29,24;71,21;11;Canada;Northern America;"Canadian Journal of Program Evaluation";"1996, 2000-2001, 2003, 2005-2010, 2012-2025";"Library and Information Sciences (Q2)";"Social Sciences"
82;15133;"Information Retrieval Journal";journal;"13864564, 15737659";"Springer Science and Business Media B.V.";No;No;0,430;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1999-2023";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
