Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21100933954;"Big Data and Society";journal;"20539517";"SAGE Publications Ltd";Yes;No;3,249;Q1;89;47;149;2489;1169;123;6,03;52,96;40,26;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2026";"Communication (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
2;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;3,235;Q1;203;75;157;5269;945;147;5,03;70,25;26,70;14;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;3,099;Q1;165;368;606;14485;4780;585;5,74;39,36;34,64;94;United Kingdom;Western Europe;"Nature Research";"2014-2026";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
4;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;2,881;Q1;215;164;330;14481;3816;325;11,21;88,30;29,71;39;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
5;200147110;"Information Communication and Society";journal;"14684462, 1369118X";"Routledge";No;No;2,579;Q1;136;128;311;6126;1881;296;6,48;47,86;53,08;0;United Kingdom;Western Europe;"Routledge";"2001, 2005-2026";"Communication (Q1); Library and Information Sciences (Q1)";"Social Sciences"
6;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";"Taylor and Francis Ltd.";No;No;2,260;Q1;151;39;105;3485;593;98;4,22;89,36;24,24;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2026";"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
7;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";"Elsevier B.V.";No;No;2,079;Q1;107;79;298;3486;1505;248;4,73;44,13;27,32;16;Netherlands;Western Europe;"Elsevier B.V.";"2007-2026";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
8;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;1,915;Q1;157;75;203;5837;1655;191;6,96;77,83;28,93;47;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2026";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
9;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,879;Q1;310;475;1424;17226;5705;1424;3,71;36,27;21,44;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
10;12815;"Journal of Information Technology";journal;"14664437, 02683962";"Palgrave Macmillan Ltd.";No;No;1,841;Q1;102;26;69;1732;468;65;6,28;66,62;35,90;5;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
11;29745;"Information and Organization";journal;"14717727";"Elsevier Ltd";No;No;1,832;Q1;83;16;43;1523;233;42;5,67;95,19;38,46;5;United Kingdom;Western Europe;"Elsevier Ltd";"1996-1997, 2001-2026";"Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
12;22894;"Research Evaluation";journal;"09582029, 14715449";"Oxford University Press";No;No;1,792;Q1;70;29;107;1506;369;104;2,91;51,93;41,18;13;United Kingdom;Western Europe;"Oxford University Press";"1991-1996, 1998-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
13;14238;"College and Research Libraries";journal;"00100870, 21506701";"Association of College and Research Libraries";Yes;Yes;1,776;Q1;63;56;162;1821;370;145;2,42;32,52;61,54;5;United States;Northern America;"Association of College and Research Libraries";"1942, 1946-1947, 1954, 1964, 1987-2026";"Library and Information Sciences (Q1)";"Social Sciences"
14;19400158815;"Communications in Information Literacy";journal;"19335954";"Communications in Information Literacy";Yes;Yes;1,448;Q1;26;14;53;412;104;49;1,56;29,43;65,00;1;United States;Northern America;"Communications in Information Literacy";"2009-2025";"Education (Q1); E-learning (Q1); Library and Information Sciences (Q1)";"Social Sciences"
15;19600157322;"Journal of Cheminformatics";journal;"17582946";"BioMed Central Ltd";Yes;No;1,430;Q1;101;77;203;3651;1180;199;5,68;47,42;29,93;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2026";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Social Sciences"
16;18916;"Social Science Computer Review";journal;"15528286, 08944393";"SAGE Publications Inc.";No;No;1,420;Q1;104;43;139;2348;622;138;3,70;54,60;36,45;15;United States;Northern America;"SAGE Publications Inc.";"1983-2026";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
17;21100258853;"F1000Research";journal;"20461402";"F1000 Research Ltd";Yes;No;1,357;-;129;686;2118;34549;7242;2037;2,99;50,36;37,10;45;United Kingdom;Western Europe;"F1000 Research Ltd";"2012-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
18;130080;"Journal of Chemical Information and Modeling";journal;"1549960X, 15499596";"American Chemical Society";No;No;1,329;Q1;219;488;739;27854;3468;734;4,70;57,08;28,24;8;United States;Northern America;"American Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Chemical Engineering; Chemistry; Computer Science; Social Sciences"
19;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,270;Q1;181;108;565;5478;2288;545;3,32;50,72;34,87;15;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2026";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
20;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;1,218;Q1;149;114;352;5771;1529;349;4,60;50,62;31,90;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
21;24222;"Scientometrics";journal;"15882861, 01389130";"Springer Nature";No;No;1,210;Q1;167;304;1142;14226;4095;1036;3,24;46,80;34,40;37;Switzerland;Western Europe;"Springer Nature";"1978-2026";"Computer Science Applications (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
22;12689;"Information Processing and Management";journal;"18735371, 03064573";"Elsevier Ltd";No;No;1,192;Q1;149;147;231;8903;1535;228;6,87;60,56;29,86;10;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
23;12791;"Journal of Academic Librarianship";journal;"00991333";"Elsevier B.V.";No;No;1,165;Q1;75;77;268;3246;534;263;1,74;42,16;58,62;9;United Kingdom;Western Europe;"Elsevier B.V.";"1988-2026";"Education (Q1); Library and Information Sciences (Q1)";"Social Sciences"
24;22510;"Learned Publishing";journal;"09531513, 17414857";"Wiley-Blackwell";No;No;1,081;-;52;51;159;1544;289;111;2,07;30,27;48,96;14;United States;Northern America;"Wiley-Blackwell";"1996-2026";"Communication (Q1)";"Social Sciences"
25;15933;"Portal";journal;"15307131, 15312542";"Johns Hopkins University Press";No;No;1,060;Q1;48;39;135;1112;180;120;1,11;28,51;65,28;4;United States;Northern America;"Johns Hopkins University Press";"2001-2026";"Development (Q1); Library and Information Sciences (Q1)";"Social Sciences"
26;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;0,992;Q1;74;34;113;1759;241;104;1,81;51,74;54,55;7;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
27;15916;"Journal of Health Communication";journal;"10810730, 10870415";"Taylor and Francis Ltd.";No;No;0,911;Q1;120;90;389;4510;938;384;1,96;50,11;65,00;18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Communication (Q1); Health (social science) (Q1); Library and Information Sciences (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
